Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 61 yards, returned by Josh Morgan for 23 yards (tackle by Cooper Taylor)",0.000,-0.740
1,14:52,1,10,WAS 27,0,0,Robert Griffin pass complete short middle to Alfred Morris for 13 yards (tackle by Spencer Paysinger and Jon Beason),0.740,1.600
1,14:28,1,10,WAS 40,0,0,Robert Griffin left end for 2 yards (tackle by Jon Beason),1.600,1.320
1,14:07,2,8,WAS 42,0,0,Alfred Morris right end for 1 yard (tackle by Spencer Paysinger and Justin Tuck),1.320,0.760
1,13:24,3,7,WAS 43,0,0,Robert Griffin pass complete short middle to Nick Williams for 6 yards (tackle by Jon Beason),0.760,-0.130
1,12:49,4,1,WAS 49,0,0,Robert Griffin right end for 1 yard (tackle by Jon Beason),-0.130,2.260
1,12:25,1,10,,0,0,Alfred Morris right tackle for 5 yards (tackle by Will Hill and Mathias Kiwanuka),2.260,2.390
1,11:53,2,5,NYG 45,0,0,Robert Griffin pass complete deep middle to Pierre Garcon for 16 yards (tackle by Prince Amukamara and Antrel Rolle),2.390,3.640
1,11:27,1,10,NYG 29,0,0,Alfred Morris right tackle for 2 yards (tackle by Spencer Paysinger),3.640,3.370
1,11:02,2,8,NYG 27,0,0,Robert Griffin pass complete short right to Josh Morgan for 10 yards (tackle by Spencer Paysinger),3.370,4.440
1,10:44,1,10,NYG 17,0,0,Alfred Morris left tackle for no gain (tackle by Keith Rivers and Johnathan Hankins),4.440,3.850
1,10:04,2,10,NYG 17,0,0,Roy Helu left end for 3 yards (tackle by Antrel Rolle),3.850,3.500
1,9:20,3,7,NYG 14,0,0,Robert Griffin pass complete short left to Fred Davis for 12 yards (tackle by Prince Amukamara and Antrel Rolle),3.500,6.740
1,8:55,1,2,NYG 2,0,0,"Roy Helu up the middle for no gain (tackle by Johnathan Hankins). Penalty on NYG: Defensive Offside, 1 yards (no play)",6.740,6.970
1,8:36,1,1,NYG 1,0,0,Evan Royster left guard for no gain (tackle by Mark Herzlich),6.970,5.910
1,8:16,2,1,NYG 1,0,6,"Alfred Morris up the middle for 1 yard, touchdown",5.910,7.000
1,8:16,,,NYG 2,0,7,Kai Forbath kicks extra point good,0.000,0.000
1,8:16,,,WAS 35,0,7,"Kai Forbath kicks off 65 yards, returned by Michael Cox for 20 yards (tackle by Reed Doughty)",0.000,-0.280
1,7:48,1,10,NYG 20,0,7,Eli Manning sacked by Brian Orakpo for -9 yards,0.280,-1.440
1,7:14,2,19,NYG 11,0,7,Andre Brown left tackle for 2 yards (tackle by Brian Orakpo),-1.440,-2.190
1,6:37,3,17,NYG 13,0,7,Eli Manning pass complete short middle to Rueben Randle for 8 yards (tackle by Josh Wilson and Jarvis Jenkins),-2.190,-1.960
1,6:05,4,9,NYG 21,0,7,"Steve Weatherford punts 46 yards, returned by Santana Moss for 14 yards (tackle by Mark Herzlich)",-1.960,-2.060
1,5:53,1,10,WAS 47,0,7,Aldrick Robinson left end for 9 yards (tackle by Keith Rivers),2.060,2.730
1,5:13,2,1,NYG 44,0,7,Roy Helu for 2 yards (tackle by Spencer Paysinger),2.730,2.790
1,5:13,1,10,NYG 42,0,7,"Penalty on Fred Davis: False Start, 5 yards (no play)",2.790,2.460
