Unnamed: 0,NYG,WAS
First Downs,16,18
Rush-Yds-TDs,23-80-2,31-139-1
Cmp-Att-Yd-TD-INT,22-28-235-1-1,24-32-207-1-0
Sacked-Yards,3-29,5-23
Net Pass Yards,206,184
Total Yards,286,323
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,1-1,8-55
Third Down Conv.,4-12,5-16
Fourth Down Conv.,0-0,2-3
Time of Possession,28:25,31:35
