Quarter,Time,Tm,Detail,NYG,WAS
1.0,7:54,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),0,7
2.0,11:45,Redskins,Logan Paulsen 19 yard pass from Robert Griffin III (Kai Forbath kick),0,14
,8:46,Giants,Andre Brown 23 yard rush (Josh Brown kick),7,14
,0:35,Giants,Brandon Myers 22 yard pass from Eli Manning (Josh Brown kick),14,14
3.0,4:25,Redskins,Kai Forbath 33 yard field goal,14,17
4.0,14:26,Giants,Andre Brown 1 yard rush (Josh Brown kick),21,17
,2:32,Giants,Josh Brown 39 yard field goal,24,17
