Quarter,Time,Tm,Detail,SFO,WAS
1.0,10:45,Redskins,Mike Sellers 2 yard pass from Mark Brunell (Nick Novak kick),0,7
,4:48,Redskins,Clinton Portis 5 yard rush (Nick Novak kick),0,14
,1:09,49ers,Kevan Barlow 17 yard rush (Joe Nedney kick),7,14
2.0,5:39,Redskins,Clinton Portis 1 yard rush (Nick Novak kick),7,21
,1:53,Redskins,Santana Moss 32 yard pass from Mark Brunell (Nick Novak kick),7,28
,0:57,Redskins,Mike Sellers 19 yard pass from Mark Brunell (Nick Novak kick),7,35
3.0,11:04,Redskins,Clinton Portis 1 yard rush (Nick Novak kick),7,42
,3:27,Redskins,Nick Novak 27 yard field goal,7,45
4.0,9:26,Redskins,Rock Cartwright 4 yard rush (Nick Novak kick),7,52
,4:35,49ers,Joe Nedney 47 yard field goal,10,52
,2:00,49ers,Frank Gore 72 yard rush (Joe Nedney kick),17,52
