Unnamed: 0,SFO,WAS
First Downs,9,24
Rush-Yds-TDs,26-140-2,39-204-4
Cmp-Att-Yd-TD-INT,8-16-92-0-1,14-21-260-3-0
Sacked-Yards,5-38,1-7
Net Pass Yards,54,253
Total Yards,194,457
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,5-29,8-60
Third Down Conv.,3-12,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:42,33:18
