Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Jeff Chandler kicks off 56 yards, returned by Ahmad Merritt for 13 yards (tackle by Jamal Robertson)",0.000,0.740
1,14:54,1,10,CHI 27,0,0,Kordell Stewart left end for 1 yard (tackle by Mike Rumph and Andre Carter),0.740,0.330
1,14:13,2,9,CHI 28,0,0,Kordell Stewart pass incomplete intended for Dez White (defended by Jamie Winborn),0.330,-0.360
1,14:08,3,9,CHI 28,0,0,Kordell Stewart right end for 8 yards (tackle by Jamie Winborn),-0.360,-0.980
1,13:26,4,1,CHI 36,0,0,"Brad Maynard punts 37 yards, returned by Arland Bruce for 4 yards (tackle by Cameron Worrell)",-0.980,-1.000
1,13:13,1,10,SFO 31,0,0,Jeff Garcia pass complete to Garrison Hearst for 9 yards (tackle by Michael Green),1.000,1.680
1,12:40,2,1,SFO 40,0,0,Garrison Hearst left end for 11 yards (tackle by Bryan Knight and Mike Brown),1.680,2.320
1,12:10,1,10,CHI 49,0,0,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Keith Traylor),2.320,1.780
1,12:05,2,10,CHI 49,0,0,Jeff Garcia pass incomplete intended for Cedrick Wilson,1.780,1.090
1,11:59,3,10,CHI 49,0,0,Jeff Garcia pass complete to Garrison Hearst for 20 yards (tackle by Michael Green),1.090,3.640
1,11:16,1,10,CHI 29,0,0,Kevan Barlow right tackle for 4 yards (tackle by Jerry Azumah),3.640,3.640
1,10:38,2,6,CHI 25,0,0,Jeff Garcia pass complete to Terrell Owens for 13 yards (tackle by Jerry Azumah),3.640,4.780
1,9:57,1,10,CHI 12,0,0,Jeff Garcia pass complete to Kevan Barlow for 3 yards (tackle by Warrick Holdman),4.780,4.640
1,9:17,2,7,CHI 9,0,0,"Jeff Garcia for 2 yards (tackle by Warrick Holdman). Jeff Garcia fumbles (forced by Warrick Holdman), recovered by Jeff Garcia at CHI-9",4.640,4.160
1,8:36,3,5,CHI 7,0,0,Jeff Garcia pass complete to Cedrick Wilson for 3 yards (tackle by Warrick Holdman),4.160,3.040
1,7:55,4,2,CHI 4,0,3,Jeff Chandler 22 yard field goal good,3.040,3.000
1,,,,SFO 30,0,3,"Jeff Chandler kicks off 71 yards, returned by Ahmad Merritt for 21 yards (tackle by Terry Jackson)",0.000,0.280
1,7:46,1,10,CHI 20,0,3,Kordell Stewart pass incomplete intended for Dez White,0.280,-0.270
1,7:40,2,10,CHI 20,0,3,Kordell Stewart pass complete to Anthony Thomas for 4 yards (tackle by Julian Peterson),-0.270,-0.430
1,6:55,3,6,CHI 24,0,3,Kordell Stewart pass incomplete intended for Marty Booker,-0.430,-1.770
1,6:50,4,6,CHI 24,0,3,"Brad Maynard punts 47 yards, fair catch by Arland Bruce",-1.770,-0.870
1,6:42,1,10,SFO 29,0,3,Kevan Barlow left guard for 9 yards (tackle by Warrick Holdman),0.870,1.540
1,6:08,2,1,SFO 38,0,3,Kevan Barlow up the middle for 2 yards (tackle by Michael Green),1.540,1.600
1,5:33,1,10,SFO 40,0,3,"Jeff Garcia pass incomplete intended for Tai Streets. Penalty on Jerry Azumah: Defensive Pass Interference, 15 yards (no play)",1.600,2.590
1,5:26,1,10,CHI 45,0,3,Kevan Barlow right tackle for 10 yards (tackle by Michael Green and Bryan Knight),2.590,3.250
1,4:49,1,10,CHI 35,0,3,Jeff Garcia pass complete to Terrell Owens for 20 yards (tackle by Michael Green),3.250,4.580
1,4:13,1,10,CHI 15,0,3,Garrison Hearst left guard for 3 yards (tackle by Brian Urlacher and Bryan Knight),4.580,4.450
1,3:35,2,7,CHI 12,0,3,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Brian Urlacher),4.450,3.580
1,3:30,3,7,CHI 12,0,9,"Jeff Garcia pass complete to Garrison Hearst for 12 yards, touchdown",3.580,7.000
1,,,,CHI 2,0,10,Jeff Chandler kicks extra point good,0.000,0.000
1,,,,SFO 30,0,10,"Jeff Chandler kicks off 63 yards, returned by Ahmad Merritt for 18 yards (tackle by Jimmy Williams)",0.000,0.610
1,3:18,1,10,CHI 25,0,10,Adrian Peterson right guard for 4 yards (tackle by Travis Kirschke),0.610,0.600
1,2:50,2,6,CHI 29,0,10,Kordell Stewart pass complete to Marty Booker for 3 yards (tackle by Ahmed Plummer),0.600,0.300
1,2:39,3,3,CHI 32,0,10,Kordell Stewart up the middle for 5 yards (tackle by Julian Peterson),0.300,1.400
1,2:15,1,10,CHI 37,0,10,Adrian Peterson up the middle for 7 yards (tackle by Travis Kirschke and Jeff Ulbrich),1.400,1.800
1,1:48,2,3,CHI 44,0,10,Adrian Peterson left tackle for 2 yards (tackle by Bryant Young),1.800,1.360
1,1:25,3,1,CHI 46,0,10,Kordell Stewart up the middle for 2 yards (tackle by Bryant Young),1.360,2.130
1,0:58,1,10,CHI 48,0,10,Adrian Peterson right tackle for 2 yards (tackle by Jeff Ulbrich),2.130,1.850
1,0:34,2,8,SFO 50,0,10,Adrian Peterson right tackle for -3 yards (tackle by Derek Smith),1.850,0.760
Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,CHI 47,0,10,Kordell Stewart pass incomplete intended for Dez White,0.760,-0.260
2,14:56,4,11,CHI 47,0,10,"Brad Maynard punts 46 yards, returned by Arland Bruce for 2 yards (tackle by Rabih Abdullah)",-0.260,0.380
2,14:45,1,10,SFO 9,0,10,Garrison Hearst right tackle for 1 yard (tackle by Brian Urlacher and Warrick Holdman),-0.380,-0.710
2,14:10,2,9,SFO 10,0,10,Jeff Garcia pass incomplete intended for Terrell Owens is intercepted by Mike Brown at SFO-16,-0.710,-4.510
2,13:59,1,10,SFO 16,0,10,Kordell Stewart up the middle for 2 yards (tackle by Anthony Adams),4.510,4.210
2,13:18,2,8,SFO 14,0,10,Kordell Stewart pass complete to Marty Booker for 11 yards (tackle by Julian Peterson),4.210,6.510
2,12:50,1,3,SFO 3,0,10,Stanley Pritchett up the middle for no gain (tackle by Travis Kirschke),6.510,5.530
2,12:10,2,3,SFO 3,6,10,"Kordell Stewart pass complete to Desmond Clark for 3 yards, touchdown",5.530,7.000
2,,,,SFO 2,7,10,Paul Edinger kicks extra point good,0.000,0.000
2,,,,CHI 30,7,10,"Paul Edinger kicks off 72 yards, returned by Arland Bruce for 19 yards (tackle by Dustin Lyman)",0.000,-0.060
2,12:00,1,10,SFO 17,7,10,"Kevan Barlow right end for 3 yards (tackle by Mike Brown). Penalty on Cedrick Wilson: Offensive Holding, 10 yards",-0.060,-0.650
