Player,Pos
Jeff Garcia,QB
Garrison Hearst,RB
Terrell Owens,WR
Cedrick Wilson,WR
Tai Streets,WR
Jed Weaver,TE
Derrick Deese,LT
Eric Heitmann,LG
Jeremy Newberry,C
Ron Stone,RG
Kyle Kosier,RT
John Engelberger,LDE
Travis Kirschke,LDT
Bryant Young,RDT
Andre Carter,RDE
Julian Peterson,LOLB
Derek Smith,LILB
Jeff Ulbrich,RILB
Mike Rumph,LCB
Ahmed Plummer,RCB
Tony Parrish,SS
Zack Bronson,FS
