Unnamed: 0,KAN,OAK
First Downs,19,18
Rush-Yds-TDs,38-150-1,24-112-0
Cmp-Att-Yd-TD-INT,12-24-148-1-1,27-37-226-0-2
Sacked-Yards,2-6,4-31
Net Pass Yards,142,195
Total Yards,292,307
Fumbles-Lost,1-0,4-3
Turnovers,1,5
Penalties-Yards,4-40,6-45
Third Down Conv.,4-14,8-15
Fourth Down Conv.,2-3,0-1
Time of Possession,30:16,29:44
