Quarter,Time,Tm,Detail,MIA,KAN
1.0,11:05,Chiefs,Rashee Rice 11 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
2.0,14:51,Chiefs,Harrison Butker 28 yard field goal,0,10
,14:01,Dolphins,Tyreek Hill 53 yard pass from Tua Tagovailoa (Jason Sanders kick),7,10
,7:36,Chiefs,Harrison Butker 26 yard field goal,7,13
,0:18,Chiefs,Harrison Butker 32 yard field goal,7,16
3.0,7:49,Chiefs,Harrison Butker 21 yard field goal,7,19
4.0,11:06,Chiefs,Isiah Pacheco 3 yard rush (Harrison Butker kick),7,26
