Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 58 yards, returned by Darren Sproles for 20 yards",0.000,-0.740
1,14:54,1,10,NOR 27,0,0,Mark Ingram right tackle for 17 yards (tackle by Patrick Chung),0.740,1.860
1,14:27,1,10,NOR 44,0,0,Darren Sproles left end for 5 yards (tackle by DeMeco Ryans),1.860,1.990
1,13:57,2,5,NOR 49,0,0,Mark Ingram right tackle for 6 yards (tackle by Connor Barwin),1.990,2.590
1,13:18,1,10,PHI 45,0,0,Drew Brees pass incomplete short left intended for Ben Watson (defended by Trent Cole),2.590,2.040
1,13:14,2,10,PHI 45,0,0,Drew Brees pass incomplete deep right intended for Darren Sproles,2.040,1.360
1,13:08,3,10,PHI 45,0,0,Drew Brees pass complete short right to Kenny Stills for 8 yards (tackle by DeMeco Ryans),1.360,0.790
1,12:20,4,2,PHI 37,0,0,"Penalty on Drew Brees: False Start, 5 yards (no play)",0.790,0.460
1,12:20,4,7,PHI 42,0,0,"Thomas Morstead punts 26 yards, fair catch by DeSean Jackson",0.460,0.140
1,12:13,1,10,PHI 16,0,0,Nick Foles pass incomplete short right intended for DeSean Jackson,-0.140,-0.660
1,12:09,2,10,PHI 16,0,0,LeSean McCoy left tackle for 3 yards (tackle by Brodrick Bunkley),-0.660,-0.950
1,11:38,3,7,PHI 19,0,0,Nick Foles pass complete short middle to Zach Ertz for 15 yards (tackle by Malcolm Jenkins),-0.950,1.200
1,11:11,1,10,PHI 34,0,0,LeSean McCoy left end for 2 yards (tackle by Junior Galette),1.200,0.930
1,10:39,2,8,PHI 36,0,0,Nick Foles pass complete short right to Jason Avant for 2 yards (tackle by Keenan Lewis),0.930,0.500
1,10:04,3,6,PHI 38,0,0,Nick Foles pass incomplete short left intended for LeSean McCoy,0.500,-0.850
1,10:01,4,6,PHI 38,0,0,Donnie Jones punts 48 yards,-0.850,0.280
1,9:50,1,10,NOR 14,0,0,Khiry Robinson left end for 4 yards (tackle by Trent Cole),-0.280,-0.210
1,9:16,2,6,NOR 18,0,0,Drew Brees pass incomplete short left intended for Mark Ingram,-0.210,-0.920
1,9:11,3,6,NOR 18,0,0,Drew Brees pass complete short left to Mark Ingram for 3 yards (tackle by Mychal Kendricks),-0.920,-1.960
1,8:33,4,3,NOR 21,0,0,"Thomas Morstead punts 32 yards, out of bounds",-1.960,-2.060
1,8:26,1,10,PHI 47,0,0,Nick Foles left end for 3 yards (tackle by Cameron Jordan),2.060,1.920
1,8:07,2,7,,0,0,LeSean McCoy up the middle for -4 yards (tackle by Cameron Jordan),1.920,0.700
1,7:32,3,11,PHI 46,0,0,Nick Foles pass complete short right to LeSean McCoy for 7 yards (tackle by Keenan Lewis),0.700,0.130
1,7:12,4,4,NOR 47,0,0,"Donnie Jones punts 47 yards, touchback",0.130,-0.280
1,7:02,1,10,NOR 20,0,0,Mark Ingram right tackle for 7 yards (tackle by Nate Allen),0.280,0.680
1,6:20,2,3,NOR 27,0,0,Mark Ingram right end for 3 yards (tackle by Damion Square),0.680,0.940
1,5:43,1,10,NOR 30,0,0,Drew Brees pass complete deep left to Jimmy Graham for 21 yards (tackle by Cary Williams),0.940,2.320
1,5:06,1,10,PHI 49,0,0,Drew Brees pass incomplete deep right intended for Kenny Stills is intercepted by Bradley Fletcher at PHI-3 and returned for 24 yards (tackle by Mark Ingram),2.320,-0.740
1,4:51,1,10,PHI 27,0,0,Nick Foles pass complete short left to Riley Cooper for 6 yards (tackle by David Hawthorne),0.740,1.010
1,4:25,2,4,PHI 33,0,0,Nick Foles pass incomplete deep left intended for Riley Cooper,1.010,0.300
1,4:19,3,4,PHI 33,0,0,Nick Foles pass complete short left to Jason Avant for 6 yards (tackle by Malcolm Jenkins),0.300,1.530
1,3:41,1,10,PHI 39,0,0,LeSean McCoy up the middle for 5 yards (tackle by Roman Harper),1.530,1.660
1,3:12,2,5,PHI 44,0,0,Nick Foles pass complete deep left to Brent Celek for 24 yards (tackle by Rafael Bush),1.660,3.450
1,2:46,1,10,NOR 32,0,0,Nick Foles pass complete short middle to LeSean McCoy for 3 yards (tackle by David Hawthorne),3.450,3.310
1,2:19,2,7,NOR 29,0,0,LeSean McCoy right end for 6 yards (tackle by Keenan Lewis),3.310,3.310
1,1:55,2,7,NOR 29,0,0,Timeout #1 by New Orleans Saints,3.310,3.400
1,1:55,3,1,NOR 23,0,0,LeSean McCoy left end for no gain (tackle by Brodrick Bunkley),3.400,2.080
1,1:24,4,1,NOR 23,0,0,LeSean McCoy right tackle for 8 yards (tackle by Corey White),2.080,4.580
1,0:50,1,10,NOR 15,0,0,Nick Foles pass complete short left to Brent Celek for -8 yards (tackle by Curtis Lofton),4.580,2.940
1,0:11,2,18,NOR 23,0,0,Nick Foles sacked by Cameron Jordan for -11 yards,2.940,0.830
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,29,NOR 34,0,0,LeSean McCoy left guard for 4 yards (tackle by Tom Johnson and Trevin Wade),0.830,1.410
2,14:26,4,25,NOR 30,0,0,Alex Henery 48 yard field goal no good,1.410,-1.470
2,14:22,1,10,NOR 38,0,0,Khiry Robinson left end for 7 yards (tackle by DeMeco Ryans),1.470,1.870
2,13:48,2,3,NOR 45,0,0,Khiry Robinson right end for 2 yards (tackle by Mychal Kendricks and DeMeco Ryans),1.870,1.420
2,13:12,3,1,NOR 47,0,0,Drew Brees up the middle for 4 yards (tackle by Cedric Thornton),1.420,2.320
2,12:31,1,10,PHI 49,0,0,Drew Brees pass complete short right to Mark Ingram for 11 yards (tackle by Connor Barwin),2.320,3.050
2,12:00,1,10,PHI 38,0,0,Mark Ingram right end for 1 yard (tackle by Bennie Logan),3.050,2.640
2,11:18,2,9,PHI 37,0,0,Drew Brees pass complete short right to Darren Sproles for 6 yards (tackle by Bradley Fletcher),2.640,2.740
2,10:37,3,3,PHI 31,0,0,Darren Sproles right end for 8 yards (tackle by Cedric Thornton),2.740,4.040
2,9:52,1,10,PHI 23,0,0,Drew Brees pass incomplete short right intended for Darren Sproles,4.040,3.500
2,9:48,2,10,PHI 23,0,0,Drew Brees pass complete short middle to Mark Ingram for 3 yards (tackle by Mychal Kendricks),3.500,3.200
2,9:08,3,7,PHI 20,0,0,Drew Brees pass complete short middle to Jimmy Graham for 6 yards (tackle by Nate Allen),3.200,2.660
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,8:50,4,1,PHI 14,0,0,"Penalty on Ben Watson: False Start, 5 yards (no play)",2.660,2.210
2,8:41,4,6,PHI 19,3,0,Shayne Graham 36 yard field goal good,2.210,3.000
2,8:41,,,NOR 35,3,0,"Thomas Morstead kicks off 66 yards, returned by Brad Smith for 23 yards (tackle by Rod Sweeting)",0.000,-0.410
2,8:32,1,10,PHI 22,3,0,LeSean McCoy right end for 1 yard (tackle by Keenan Lewis),0.410,0.000
2,8:02,2,9,PHI 23,3,0,Nick Foles pass complete short right to Jason Avant for 6 yards (tackle by Malcolm Jenkins),0.000,0.100
2,7:37,3,3,PHI 29,3,0,Nick Foles pass incomplete deep middle intended for Brent Celek (defended by Roman Harper),0.100,-1.440
2,7:27,4,3,PHI 29,3,0,"Donnie Jones punts 53 yards, returned by Darren Sproles for 14 yards (tackle by Casey Matthews)",-1.440,-1.070
2,7:21,1,10,NOR 32,3,0,Drew Brees pass complete short left to Marques Colston for 10 yards (tackle by Cary Williams and DeMeco Ryans),1.070,1.730
2,6:43,1,10,NOR 42,3,0,Mark Ingram right end for 4 yards (tackle by Trent Cole),1.730,1.730
2,6:08,2,6,NOR 46,3,0,Drew Brees up the middle for 5 yards (tackle by DeMeco Ryans),1.730,1.690
2,5:25,3,1,PHI 49,3,0,Khiry Robinson right tackle for 5 yards (tackle by Mychal Kendricks),1.690,2.650
2,4:46,1,10,PHI 44,3,0,Mark Ingram left end for 3 yards (tackle by Cary Williams),2.650,2.520
2,4:19,2,7,PHI 41,3,0,Drew Brees pass incomplete short left intended for Lance Moore is intercepted by DeMeco Ryans at PHI-33 and returned for 23 yards (tackle by Terron Armstead),2.520,-2.650
2,4:12,1,10,NOR 44,3,0,Nick Foles pass complete deep middle to Riley Cooper for 22 yards (tackle by Rafael Bush),2.650,4.110
2,3:31,1,10,NOR 22,3,0,Nick Foles pass complete short left to Zach Ertz for 4 yards (tackle by Curtis Lofton),4.110,4.130
2,2:55,2,6,NOR 18,3,0,LeSean McCoy left end for 7 yards (tackle by David Hawthorne),4.130,4.840
2,2:15,1,10,NOR 11,3,0,Nick Foles pass complete short right to Jason Avant for 1 yard (tackle by Parys Haralson),4.840,4.320
2,2:00,2,9,NOR 10,3,0,Nick Foles pass incomplete short right intended for Zach Ertz,4.320,3.300
2,1:55,3,9,NOR 10,3,6,"Nick Foles pass complete short left to Riley Cooper for 10 yards, touchdown",3.300,7.000
2,1:55,,,NOR 2,3,7,Alex Henery kicks extra point good,0.000,0.000
