Quarter,Time,Tm,Detail,NOR,PHI
2.0,8:37,Saints,Shayne Graham 36 yard field goal,3,0
,1:48,Eagles,Riley Cooper 10 yard pass from Nick Foles (Alex Henery kick),3,7
,0:00,Saints,Shayne Graham 46 yard field goal,6,7
3.0,10:08,Saints,Lance Moore 24 yard pass from Drew Brees (Shayne Graham kick),13,7
,3:54,Saints,Mark Ingram 4 yard rush (Shayne Graham kick),20,7
,0:32,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),20,14
4.0,11:14,Eagles,Alex Henery 31 yard field goal,20,17
,8:04,Saints,Shayne Graham 35 yard field goal,23,17
,4:54,Eagles,Zach Ertz 3 yard pass from Nick Foles (Alex Henery kick),23,24
,0:00,Saints,Shayne Graham 32 yard field goal,26,24
