Unnamed: 0,NOR,PHI
First Downs,26,17
Rush-Yds-TDs,36-185-1,22-80-1
Cmp-Att-Yd-TD-INT,20-30-250-1-2,23-33-195-2-0
Sacked-Yards,2-1,2-19
Net Pass Yards,249,176
Total Yards,434,256
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,7-85,4-38
Third Down Conv.,7-13,3-12
Fourth Down Conv.,0-0,2-2
Time of Possession,34:53,25:07
