Unnamed: 0,PIT,SEA
First Downs,25,17
Rush-Yds-TDs,46-202-3,15-88-1
Cmp-Att-Yd-TD-INT,18-24-274-0-0,23-33-290-1-0
Sacked-Yards,1-8,1-9
Net Pass Yards,266,281
Total Yards,468,369
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,2-10,4-25
Third Down Conv.,6-13,3-9
Fourth Down Conv.,2-3,0-0
Time of Possession,37:33,22:27
