Unnamed: 0,HOU,JAX
First Downs,9,25
Rush-Yds-TDs,21-87-0,38-138-3
Cmp-Att-Yd-TD-INT,12-31-128-1-1,21-29-326-3-0
Sacked-Yards,4-29,1-0
Net Pass Yards,99,326
Total Yards,186,464
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,14-127,8-54
Third Down Conv.,4-16,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,26:42,33:18
