Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,MIN 20,0,0,Tarvaris Jackson pass incomplete deep right intended for Bernard Berrian (defended by Roderick Hood),0.280,-0.270
1,14:54,2,10,MIN 20,0,0,Adrian Peterson left tackle for 8 yards (tackle by Darnell Dockett),-0.270,0.100
1,14:11,3,2,MIN 28,0,0,Adrian Peterson left tackle for 2 yards (tackle by Gerald Hayes),0.100,0.940
1,13:46,1,10,MIN 30,0,0,Adrian Peterson up the middle for 4 yards (tackle by Karlos Dansby),0.940,0.930
1,13:09,2,6,MIN 34,0,0,Tarvaris Jackson sacked by Antonio Smith for -5 yards,0.930,-0.430
1,12:30,3,11,MIN 29,0,0,Tarvaris Jackson sacked by Chike Okeafor for 0 yards,-0.430,-1.440
1,12:06,4,11,MIN 29,0,0,"Chris Kluwe punts 41 yards, returned by Steve Breaston for 7 yards (tackle by Maurice Hicks)",-1.440,-1.400
1,12:04,1,10,ARI 37,0,0,Kurt Warner pass complete short right to Anquan Boldin for 3 yards (tackle by Chad Greenway),1.400,1.260
1,11:33,2,7,ARI 40,0,0,Kurt Warner pass incomplete short middle intended for Stephen Spach (defended by Chad Greenway),1.260,0.560
1,11:29,3,7,ARI 40,0,0,Kurt Warner pass incomplete short left intended for Anquan Boldin,0.560,-0.720
1,11:24,4,7,ARI 40,6,0,"Ben Graham punts 42 yards, returned by Bernard Berrian for 82 yards, touchdown",-0.720,-7.000
1,,,,ARI 2,7,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,7,0,"Ryan Longwell kicks off 61 yards, returned by J.J. Arrington for 20 yards (tackle by Eric Frampton). Penalty on Kenny Iwebema: Offensive Holding, 10 yards",0.000,-0.060
1,11:00,1,10,ARI 17,7,0,J.J. Arrington left end for 7 yards (tackle by Ben Leber and Pat Williams),-0.060,0.480
1,10:24,2,3,ARI 24,7,0,Kurt Warner pass complete short right to J.J. Arrington for 22 yards (tackle by Madieu Williams),0.480,1.990
1,9:39,1,10,ARI 46,7,0,Kurt Warner pass incomplete short left intended for Stephen Spach (defended by Chad Greenway),1.990,1.450
1,9:34,2,10,ARI 46,7,0,Kurt Warner pass incomplete short left intended for Steve Breaston is intercepted by Cedric Griffin at ARI-45 and returned for -2 yards (tackle by Anquan Boldin),1.450,-2.460
,,,,,,,"ARI challenged the pass completion ruling, and the play was upheld.",,
1,9:30,1,10,ARI 47,7,0,Chester Taylor left tackle for 2 yards (tackle by Gerald Hayes),2.460,2.180
1,8:57,2,8,ARI 45,7,0,Tarvaris Jackson pass complete short left to Chester Taylor for 7 yards (tackle by Karlos Dansby),2.180,2.410
1,8:33,3,1,ARI 38,7,0,Jeff Dugan up the middle for 2 yards (tackle by Calais Campbell),2.410,3.180
1,7:56,1,10,ARI 36,7,0,Adrian Peterson right tackle for no gain (tackle by Calais Campbell and Chike Okeafor),3.180,2.640
1,7:17,2,10,ARI 36,7,0,"Penalty on Jeff Dugan: False Start, 5 yards (no play)",2.640,1.960
1,6:50,2,15,ARI 41,7,0,Tarvaris Jackson pass incomplete short middle intended for Adrian Peterson (defended by Gerald Hayes),1.960,1.290
1,6:46,3,15,ARI 41,13,0,"Tarvaris Jackson pass complete deep right to Bernard Berrian for 41 yards, touchdown",1.290,7.000
1,,,,ARI 2,14,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,14,0,"Ryan Longwell kicks off 64 yards, returned by J.J. Arrington for 16 yards (tackle by Tyrell Johnson)",0.000,0.410
1,6:34,1,10,ARI 22,14,0,Kurt Warner pass complete short right to Larry Fitzgerald for 9 yards,0.410,1.080
1,6:09,2,1,ARI 31,14,0,"Kurt Warner pass complete short right to Anquan Boldin for 9 yards (tackle by Antoine Winfield). Anquan Boldin fumbles (forced by Antoine Winfield), recovered by Darren Sharper at ARI-43 (tackle by Tim Hightower)",1.080,-4.040
,,,,,,,"ARI challenged the fumble ruling, and the play was upheld.",,
1,5:57,1,10,ARI 23,14,0,Adrian Peterson left tackle for 1 yard (tackle by Bertrand Berry),4.040,3.630
1,5:20,2,9,ARI 22,14,0,Tarvaris Jackson pass complete short right to Visanthe Shiancoe for 8 yards (tackle by Karlos Dansby),3.630,4.280
1,4:45,3,1,ARI 14,14,0,Jeff Dugan up the middle for 2 yards (tackle by Karlos Dansby and Darnell Dockett),4.280,4.780
1,4:03,1,10,ARI 12,14,0,Adrian Peterson right tackle for 1 yard (tackle by Antrel Rolle and Adrian Wilson),4.780,4.270
1,3:21,2,9,ARI 11,14,0,Adrian Peterson left end for 5 yards (tackle by Antrel Rolle),4.270,4.380
1,2:48,3,4,ARI 6,20,0,"Tarvaris Jackson pass complete short right to Sidney Rice for 6 yards, touchdown",4.380,7.000
1,,,,ARI 2,21,0,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,21,0,"Ryan Longwell kicks off 70 yards, returned by J.J. Arrington for 26 yards (tackle by Maurice Hicks)",0.000,0.670
1,2:37,1,10,ARI 26,21,0,Kurt Warner sacked by Chad Greenway for -5 yards,0.670,-0.550
1,2:04,2,15,ARI 21,21,0,Kurt Warner pass incomplete short middle intended for Tim Hightower,-0.550,-1.220
1,1:58,3,15,ARI 21,21,0,Kurt Warner pass complete short right to Anquan Boldin for 11 yards (tackle by Benny Sapp),-1.220,-1.240
1,1:58,4,4,ARI 32,21,0,"Ben Graham punts 40 yards, returned by Bobby Wade for 20 yards (tackle by Sean Morey)",-1.240,-2.130
