Quarter,Time,Tm,Detail,MIN,ARI
1.0,11:05,Vikings,Bernard Berrian 82 yard punt return (Ryan Longwell kick),7,0
,6:39,Vikings,Bernard Berrian 41 yard pass from Tarvaris Jackson (Ryan Longwell kick),14,0
,2:43,Vikings,Sidney Rice 6 yard pass from Tarvaris Jackson (Ryan Longwell kick),21,0
2.0,2:08,Vikings,Chester Taylor 11 yard pass from Tarvaris Jackson (Ryan Longwell kick),28,0
3.0,13:43,Cardinals,Jerheme Urban 50 yard pass from Kurt Warner (Neil Rackers kick),28,7
,4:27,Cardinals,Roderick Hood 68 yard blocked field goal return (Neil Rackers kick),28,14
,0:17,Vikings,Bobby Wade 59 yard pass from Tarvaris Jackson (Ryan Longwell kick),35,14
