Unnamed: 0,MIN,ARI
First Downs,20,16
Rush-Yds-TDs,44-239-0,7-43-0
Cmp-Att-Yd-TD-INT,11-17-163-4-0,32-50-298-1-1
Sacked-Yards,3-6,4-25
Net Pass Yards,157,273
Total Yards,396,316
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,6-34,5-60
Third Down Conv.,10-15,4-13
Fourth Down Conv.,0-0,2-3
Time of Possession,34:34,25:26
