Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Mike Nugent kicks off 59 yards, returned by Alex Erickson for 26 yards (tackle by Sherrick McManis). Penalty on Ryan Hewitt: Illegal Block Above the Waist, 8 yards",0.000,0.380
1,14:53,1,10,CIN 8,0,0,Giovani Bernard left guard for 1 yard (tackle by Akiem Hicks),-0.380,-0.710
1,14:17,2,9,CIN 9,0,0,Andy Dalton pass complete short left to Ryan Hewitt for 6 yards (tackle by Prince Amukamara),-0.710,-0.600
1,13:40,3,3,CIN 15,0,0,"Penalty on Andre Smith: False Start, 5 yards (no play)",-0.600,-1.190
1,13:22,3,8,CIN 10,0,0,Andy Dalton pass complete short right to Alex Erickson for 9 yards (tackle by Eddie Jackson),-1.190,0.150
,,,,,,,"CIN challenged the short of the line to gain ruling, and the original play was overturned.",,
1,12:34,1,10,CIN 19,0,0,Andy Dalton pass incomplete short middle intended for A.J. Green (defended by Kyle Fuller),0.150,-0.390
1,12:29,2,10,CIN 19,0,0,Andy Dalton pass incomplete deep left intended for A.J. Green,-0.390,-1.070
1,12:24,3,10,CIN 19,0,0,Andy Dalton pass incomplete short left intended for Tyler Boyd,-1.070,-2.140
1,12:20,4,10,CIN 19,0,0,"Kevin Huber punts 47 yards. Penalty on Cody Core: Unsportsmanlike Conduct, 15 yards",-2.140,-2.190
1,12:06,1,10,CHI 49,0,0,Mitch Trubisky pass incomplete short middle intended for Jordan Howard,2.190,1.650
1,12:03,2,10,CHI 49,0,0,Mitch Trubisky pass complete short right to Josh Bellamy for 16 yards (tackle by William Jackson),1.650,3.250
1,11:21,1,10,CIN 35,0,0,Tarik Cohen for 14 yards (tackle by Darqueze Dennard),3.250,4.170
1,11:05,1,10,CIN 21,6,0,"Jordan Howard left guard for 21 yards, touchdown",4.170,7.000
1,11:00,,,CIN 15,6,0,Mike Nugent kicks extra point no good,0.000,-1.000
1,11:00,,,CHI 35,6,0,"Mike Nugent kicks off 62 yards, returned by Alex Erickson for 17 yards (tackle by Benny Cunningham)",0.000,-0.280
1,10:55,1,10,CIN 20,6,0,Giovani Bernard right end for 3 yards (tackle by Danny Trevathan),0.280,0.140
1,10:28,2,7,CIN 23,6,0,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Kyle Fuller),0.140,-0.560
1,10:22,3,7,CIN 23,6,0,Andy Dalton pass complete short right to Brandon LaFell for 6 yards (tackle by Kyle Fuller),-0.560,0.000
1,9:55,,,,,,Timeout #1 by Chicago Bears,0.000,1.440
1,9:55,4,1,CIN 29,6,0,"Kevin Huber punts 53 yards, out of bounds",-1.440,-0.040
