Quarter,Time,Tm,Detail,CHI,CIN
1.0,11:00,Bears,Jordan Howard 21 yard rush (Mike Nugent kick failed),6,0
,2:15,Bengals,Brandon LaFell 14 yard pass from Andy Dalton (Randy Bullock kick),6,7
2.0,12:38,Bears,Mike Nugent 34 yard field goal,9,7
,1:46,Bears,Mike Nugent 27 yard field goal,12,7
3.0,4:54,Bears,Mitchell Trubisky 4 yard rush (Mike Nugent kick),19,7
4.0,14:52,Bears,Adam Shaheen 1 yard pass from Mitchell Trubisky (Mike Nugent kick),26,7
,9:18,Bears,Jordan Howard 8 yard rush (Mike Nugent kick),33,7
