Unnamed: 0,CHI,CIN
First Downs,29,14
Rush-Yds-TDs,38-232-3,13-70-0
Cmp-Att-Yd-TD-INT,25-32-271-1-0,18-37-188-1-1
Sacked-Yards,2-21,3-24
Net Pass Yards,250,164
Total Yards,482,234
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,10-74,7-56
Third Down Conv.,4-11,3-12
Fourth Down Conv.,1-2,0-2
Time of Possession,38:09,21:51
