Quarter,Time,Tm,Detail,DET,GNB
1.0,7:23,Lions,Jason Hanson 42 yard field goal,3,0
,2:51,Packers,Dave Rayner 24 yard field goal,3,3
2.0,5:35,Packers,Vernand Morency 14 yard rush (Dave Rayner kick),3,10
3.0,9:59,Lions,Jason Hanson 42 yard field goal,6,10
4.0,9:33,Lions,Jason Hanson 23 yard field goal,9,10
,2:48,Packers,Vernand Morency 21 yard rush (Dave Rayner kick),9,17
