Unnamed: 0,DET,GNB
First Downs,10,19
Rush-Yds-TDs,20-58-0,32-139-2
Cmp-Att-Yd-TD-INT,16-26-135-0-2,20-37-174-0-3
Sacked-Yards,6-51,1-10
Net Pass Yards,84,164
Total Yards,142,303
Fumbles-Lost,1-1,2-1
Turnovers,3,4
Penalties-Yards,6-37,9-69
Third Down Conv.,2-12,7-15
Fourth Down Conv.,0-2,0-0
Time of Possession,26:26,33:34
