Quarter,Time,Tm,Detail,DET,GNB
1,11:03,Lions,Jason Hanson 19 yard field goal,3,0
,7:11,Lions,Jason Hanson 23 yard field goal,6,0
,2:26,Packers,Ryan Longwell 36 yard field goal,6,3
,0:43,Lions,Roy Williams 4 yard pass from Jeff Garcia (Jason Hanson kick),13,3
2,4:56,Packers,Samkon Gado 64 yard rush (Ryan Longwell kick),13,10
4,14:22,Packers,Ryan Longwell 39 yard field goal,13,13
OT,9:43,Packers,Ryan Longwell 28 yard field goal,13,16
