Unnamed: 0,DET,GNB
First Downs,11,19
Rush-Yds-TDs,31-129-0,35-181-1
Cmp-Att-Yd-TD-INT,13-24-112-1-0,21-32-170-0-1
Sacked-Yards,0-0,3-21
Net Pass Yards,112,149
Total Yards,241,330
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,5-50,5-25
Third Down Conv.,5-15,6-16
Fourth Down Conv.,0-1,1-1
Time of Possession,28:08,37:09
