Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 60 yards, returned by R.W. McQuarters for 22 yards (tackle by Roy Manning)",0.000,1.070
1,14:54,1,10,DET 32,0,0,"Penalty on Kelly Butler: False Start, 5 yards (no play)",1.070,0.740
1,14:54,1,15,DET 27,0,0,Kevin Jones right guard for 1 yard (tackle by Nick Barnett and Paris Lenon),0.740,-0.010
1,14:12,2,14,DET 28,0,0,Jeff Garcia pass incomplete intended for Scottie Vines,-0.010,-0.690
1,14:08,3,14,DET 28,0,0,Jeff Garcia pass complete to Scottie Vines for 22 yards (tackle by Marviel Underwood),-0.690,2.260
1,13:28,1,10,DET 50,0,0,Kevin Jones right end for 40 yards (tackle by Nick Collins),2.260,4.910
1,12:59,1,10,GNB 10,0,0,Kevin Jones right end for 5 yards (tackle by Al Harris),4.910,5.150
1,12:22,2,5,GNB 5,0,0,Kevin Jones left guard for 4 yards (tackle by Grady Jackson),5.150,5.170
1,11:48,3,1,GNB 1,0,0,Artose Pinner left guard for no gain (tackle by Roy Manning and Paris Lenon),5.170,3.550
1,11:06,4,1,GNB 1,3,0,Jason Hanson 19 yard field goal good,3.550,3.000
1,,,,DET 30,3,0,"Jason Hanson kicks off 53 yards, returned by Ahmad Carroll for 12 yards (tackle by LeVar Woods)",0.000,0.870
1,10:58,1,10,GNB 29,3,0,Samkon Gado left guard for no gain (tackle by James Hall),0.870,0.330
1,10:20,2,10,GNB 29,3,0,"Brett Favre sacked for -8 yards. Brett Favre fumbles, recovered by James Davis at GNB-18 (tackle by Samkon Gado)",0.330,-4.370
1,10:14,1,10,GNB 18,3,0,Artose Pinner left end for no gain (tackle by Brady Poppinga and Aaron Kampman),4.370,3.800
1,9:36,2,10,GNB 18,3,0,Jeff Garcia pass complete to Artose Pinner for 8 yards (tackle by Brady Poppinga),3.800,4.510
1,9:11,3,2,GNB 10,3,0,Shawn Bryson up the middle for 5 yards (tackle by Mark Roman and Nick Barnett),4.510,6.060
1,8:41,,,,3,0,Timeout #1 by Green Bay Packers,0.000,6.060
1,8:41,1,5,GNB 5,3,0,Artose Pinner up the middle for 2 yards (tackle by Aaron Kampman and Colin Cole),6.060,5.530
1,8:00,,,,3,0,Timeout #1 by Detroit Lions,0.000,5.530
1,8:00,2,3,GNB 3,3,0,Jeff Garcia pass incomplete intended for Mike Williams,5.530,4.720
1,7:55,3,3,GNB 3,3,0,Shawn Bryson up the middle for -2 yards (tackle by Nick Barnett and Aaron Kampman),4.720,3.010
1,7:16,4,5,GNB 5,6,0,Jason Hanson 23 yard field goal good,3.010,3.000
1,,,,DET 30,6,0,"Jason Hanson kicks off 50 yards, returned by Ahmad Carroll for 15 yards (tackle by Sean McHugh)",0.000,1.270
1,7:06,1,10,GNB 35,6,0,Samkon Gado left guard for 7 yards (tackle by Bracy Walker and R.W. McQuarters),1.270,1.670
1,6:34,2,3,GNB 42,6,0,Samkon Gado right end for 2 yards (tackle by Wali Rainer),1.670,1.220
1,5:56,3,1,GNB 44,6,0,Brett Favre pass complete to Robert Ferguson for 11 yards (tackle by R.W. McQuarters and Earl Holmes),1.220,2.590
1,5:17,1,10,DET 45,6,0,Brett Favre pass complete to Andrae Thurman for 9 yards (tackle by R.W. McQuarters),2.590,3.260
1,4:36,2,1,DET 36,6,0,Brett Favre pass complete to Samkon Gado for 9 yards (tackle by Wali Rainer),3.260,3.780
1,3:56,1,10,DET 27,6,0,Samkon Gado left end for 2 yards (tackle by Wali Rainer),3.780,3.500
1,3:17,2,8,DET 25,6,0,Brett Favre pass incomplete intended for Robert Ferguson,3.500,2.810
1,3:12,3,8,DET 25,6,0,Brett Favre pass complete to William Henderson for 7 yards (tackle by Earl Holmes and Nate Wayne),2.810,2.400
1,2:32,4,1,DET 18,6,3,Ryan Longwell 36 yard field goal good,2.400,3.000
1,,,,GNB 30,6,3,"Ryan Longwell kicks off 59 yards, returned by R.W. McQuarters for 73 yards (tackle by Nick Collins)",0.000,4.510
1,2:14,1,10,GNB 16,6,3,"Jeff Garcia pass incomplete intended for Charles Rogers. Penalty on Ahmad Carroll: Defensive Holding, 5 yards (no play)",4.510,4.840
1,2:08,1,10,GNB 11,6,3,Artose Pinner right tackle for 3 yards (tackle by Nick Barnett),4.840,4.700
1,1:31,2,7,GNB 8,6,3,Artose Pinner left end for 4 yards (tackle by Paris Lenon),4.700,4.670
1,0:47,3,3,GNB 4,12,3,"Jeff Garcia pass complete to Roy Williams for 4 yards, touchdown",4.670,7.000
,,,,,,,"GNB challenged the ruling, and the play was upheld.",,
1,,,,GNB 2,13,3,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,13,3,"Jason Hanson kicks off 55 yards, returned by Ahmad Carroll for 18 yards (tackle by Donte Curry)",0.000,1.140
1,0:37,1,10,GNB 33,13,3,Samkon Gado left guard for 4 yards (tackle by Wali Rainer),1.140,1.130
Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,GNB 37,13,3,Samkon Gado right end for 5 yards (tackle by Bracy Walker),1.130,1.090
2,14:17,3,1,GNB 42,13,3,Samkon Gado right tackle for 7 yards (tackle by Kenoy Kennedy and Bracy Walker),1.090,2.190
2,13:39,1,10,GNB 49,13,3,Brett Favre pass complete to Donald Lee for 2 yards (tackle by Dre' Bly),2.190,1.920
2,12:59,2,8,DET 49,13,3,Brett Favre pass complete to William Henderson for 8 yards (tackle by Wali Rainer),1.920,2.850
2,12:07,1,10,DET 41,13,3,Antonio Chatman left end for 3 yards (tackle by Jared DeVries),2.850,2.710
2,11:27,2,7,DET 38,13,3,Brett Favre pass complete to David Martin for 6 yards (tackle by Wali Rainer and Earl Holmes),2.710,2.810
2,10:50,3,1,DET 32,13,3,Samkon Gado right guard for no gain (tackle by Marcus Bell and Earl Holmes),2.810,1.310
2,10:20,4,1,DET 32,13,3,Samkon Gado left end for 11 yards (tackle by Vernon Fox),1.310,4.170
2,9:41,1,10,DET 21,13,3,Tony Fisher left tackle for 4 yards (tackle by Kenoy Kennedy),4.170,4.200
2,9:04,2,6,DET 17,13,3,"Tony Fisher left guard for no gain (tackle by Earl Holmes and R.W. McQuarters). Penalty on Robert Ferguson: Illegal Block Above the , 10 yards",4.200,2.820
2,8:34,2,16,DET 27,13,3,Brett Favre pass incomplete intended for Robert Ferguson,2.820,2.150
2,8:31,3,16,DET 27,13,3,Brett Favre pass complete to David Martin for 7 yards (tackle by Nate Wayne),2.150,2.120
2,7:48,4,9,DET 20,13,3,"Ryan Longwell 38 yard field goal no good, blocked by Jared DeVries, recovered by B.J. Sander and returned for 2 yards",2.120,-0.870
