Unnamed: 0,MIA,KAN
First Downs,20,16
Rush-Yds-TDs,21-117-1,24-93-0
Cmp-Att-Yd-TD-INT,21-34-193-1-0,20-30-185-2-0
Sacked-Yards,3-18,2-11
Net Pass Yards,175,174
Total Yards,292,267
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,6-45,9-69
Third Down Conv.,3-12,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,30:24,29:36
