Quarter,Time,Tm,Detail,MIA,KAN
1.0,12:03,Chiefs,Rashee Rice 11 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
2.0,2:31,Chiefs,Jerick McKinnon 17 yard pass from Patrick Mahomes (Harrison Butker kick),0,14
,0:33,Chiefs,Bryan Cook 4 yard fumble return (Harrison Butker kick),0,21
3.0,4:47,Dolphins,Cedrick Wilson Jr. 31 yard pass from Tua Tagovailoa (Jason Sanders kick),7,21
,0:22,Dolphins,Raheem Mostert 13 yard rush (Jason Sanders kick),14,21
