Unnamed: 0,GNB,NYG
First Downs,16,23
Rush-Yds-TDs,26-116-0,31-147-2
Cmp-Att-Yd-TD-INT,15-27-230-1-1,16-30-249-3-0
Sacked-Yards,5-29,1-6
Net Pass Yards,201,243
Total Yards,317,390
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,8-49,4-24
Third Down Conv.,5-12,6-12
Fourth Down Conv.,0-1,1-2
Time of Possession,28:47,31:13
