Unnamed: 0,CHI,LAC
First Downs,17,20
Rush-Yds-TDs,25-73-2,25-54-0
Cmp-Att-Yd-TD-INT,25-37-232-0-2,31-40-298-3-0
Sacked-Yards,1-10,0-0
Net Pass Yards,222,298
Total Yards,295,352
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,7-53,2-15
Third Down Conv.,6-14,7-13
Fourth Down Conv.,1-4,0-1
Time of Possession,28:32,31:28
