Quarter,Time,Down,ToGo,Location,CHI,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 68 yards, returned by Velus Jones for 24 yards (tackle by Daiyan Henley and Dean Marlowe)",0.000,0.340
1,14:39,1,10,CHI 21,0,0,"Tyson Bagent pass complete deep right to Darnell Mooney for 41 yards (tackle by Asante Samuel). Penalty on Asante Samuel: Defensive Pass Interference, 15 yards (declined)",0.340,3.050
1,14:39,1,10,LAC 38,0,0,D'Onta Foreman up the middle for 1 yard (tackle by Kenneth Murray),3.050,2.640
1,14:12,2,9,LAC 37,0,0,Trent Taylor left end for -2 yards (tackle by Khalil Mack),2.640,1.680
1,13:28,3,11,LAC 39,0,0,Tyson Bagent sacked by Joey Bosa for -10 yards,1.680,0.000
1,12:51,4,21,LAC 49,0,0,"Trenton Gill punts 41 yards, fair catch by Derius Davis at LAC-8. Penalty on Daiyan Henley: Running Into the Kicker, 5 yards (declined)",0.000,0.380
1,12:44,1,10,LAC 8,0,0,Justin Herbert scrambles up the middle for 1 yard (tackle by Jaylon Johnson),-0.380,-0.710
1,12:11,2,9,LAC 9,0,0,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Tyrique Stevenson),-0.710,-0.840
1,11:32,3,5,LAC 13,0,0,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Elijah Hicks),-0.840,0.150
1,10:57,1,10,LAC 19,0,0,Joshua Kelley right tackle for 5 yards (tackle by T.J. Edwards),0.150,0.340
1,10:23,2,5,LAC 24,0,0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Tyrique Stevenson),0.340,1.070
1,9:50,1,10,LAC 32,0,0,Justin Herbert pass complete short middle to Austin Ekeler for 13 yards (tackle by Khalid Kareem),1.070,1.930
1,9:07,1,10,LAC 45,0,0,Austin Ekeler right guard for 5 yards (tackle by Kyler Gordon),1.930,2.060
1,8:33,2,5,CHI 50,0,0,Justin Herbert pass complete short left to Donald Parham for 7 yards (tackle by Elijah Hicks),2.060,2.720
1,7:54,1,10,CHI 43,0,0,Joshua Kelley left tackle for 4 yards (tackle by Zacch Pickens),2.720,2.720
1,7:19,2,6,CHI 39,0,6,"Justin Herbert pass complete short left to Austin Ekeler for 39 yards, touchdown",2.720,7.000
1,7:08,,,CHI 15,0,7,Cameron Dicker kicks extra point good,0.000,0.000
1,7:08,,,LAC 35,0,7,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,7:08,1,10,CHI 25,0,7,Tyson Bagent pass complete short right to Velus Jones for 4 yards (tackle by Michael Davis),0.610,0.600
1,6:24,2,6,CHI 29,0,7,"D'Onta Foreman right end for 18 yards (tackle by Derwin James). Penalty on Lucas Patrick: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.600,-0.810
1,6:08,2,16,CHI 19,0,7,"Tyson Bagent pass incomplete short right intended for Khari Blasingame. Penalty on Lucas Patrick: Offensive Holding, 10 yards (declined)",-0.810,-1.510
1,6:01,3,16,CHI 19,0,7,Tyson Bagent pass complete short left to Cole Kmet for 13 yards,-1.510,-1.240
1,5:16,4,3,CHI 32,0,7,"Trenton Gill punts 38 yards, fair catch by Derius Davis at LAC-30. Penalty on Velus Jones: Fair Catch Interference, 15 yards (accepted)",-1.240,-1.930
1,5:01,1,10,LAC 45,0,7,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Tyrique Stevenson),1.930,2.600
1,4:31,2,1,CHI 46,0,7,Austin Ekeler right guard for 2 yards (tackle by Tyrique Stevenson),2.600,2.650
1,3:56,1,10,CHI 44,0,7,Joshua Kelley right tackle for 3 yards (tackle by DeMarcus Walker),2.650,2.520
1,3:18,2,7,CHI 41,0,7,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Tyrique Stevenson),2.520,3.450
1,2:57,1,10,CHI 32,0,7,Joshua Kelley up the middle for 3 yards (tackle by T.J. Edwards),3.450,3.310
1,2:28,2,7,CHI 29,0,7,Justin Herbert pass complete short middle to Austin Ekeler for 13 yards (tackle by T.J. Edwards),3.310,4.510
1,1:50,1,10,CHI 16,0,7,Austin Ekeler up the middle for 4 yards (tackle by Jack Sanborn),4.510,4.570
1,1:09,2,6,CHI 12,0,7,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Tyrique Stevenson and Justin Jones),4.570,4.390
1,0:49,3,3,CHI 9,0,13,"Justin Herbert pass complete short left to Simi Fehoko for 9 yards, touchdown",4.390,7.000
1,0:43,,,CHI 15,0,14,Cameron Dicker kicks extra point good,0.000,0.000
1,0:43,,,LAC 35,0,14,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,0:43,1,10,CHI 25,0,14,Tyson Bagent pass complete short right to D.J. Moore for 8 yards (tackle by Asante Samuel),0.610,1.140
1,0:15,2,2,CHI 33,0,14,Tyson Bagent pass complete short left to Roschon Johnson for 7 yards (tackle by Eric Kendricks),1.140,1.600
Quarter,Time,Down,ToGo,Location,CHI,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 40,0,14,Roschon Johnson right guard for 2 yards (tackle by Eric Kendricks),1.600,1.320
2,14:21,2,8,CHI 42,0,14,Roschon Johnson right guard for 11 yards (tackle by Dean Marlowe and Michael Davis),1.320,2.460
2,13:44,1,10,LAC 47,0,14,"Tyson Bagent aborted snap, recovered by Roschon Johnson at LAC-47",2.460,2.180
2,12:56,2,8,LAC 45,0,14,Tyson Bagent pass incomplete short left intended for Darnell Mooney,2.180,1.490
2,12:50,3,8,LAC 45,0,14,Tyson Bagent pass short left intended for D.J. Moore is intercepted by Ja'Sir Taylor at LAC-35 and returned for 8 yards (tackle by Darnell Mooney),1.490,-1.800
2,12:45,1,10,LAC 43,0,14,Justin Herbert pass complete short right to Isaiah Spiller for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),1.800,1.930
2,12:15,2,5,LAC 48,0,14,Justin Herbert pass complete short right to Donald Parham for 8 yards (tackle by T.J. Edwards),1.930,2.650
2,11:39,1,10,CHI 44,0,14,Austin Ekeler left end for -2 yards (tackle by T.J. Edwards),2.650,1.840
2,10:58,2,12,CHI 46,0,14,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by Tremaine Edmunds),1.840,1.950
2,10:15,3,6,CHI 40,0,14,"Justin Herbert pass incomplete short right intended for Quentin Johnston. Penalty on Tyrique Stevenson: Defensive Pass Interference, 8 yards (accepted) (no play)",1.950,3.450
2,10:15,1,10,CHI 32,0,14,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by Jack Sanborn),3.450,3.310
2,9:40,2,7,CHI 29,0,14,Austin Ekeler left tackle for 4 yards (tackle by Kyler Gordon and Duron Harmon),3.310,3.140
2,9:02,3,3,CHI 25,0,14,Justin Herbert pass incomplete short middle intended for Donald Parham (defended by Khalid Kareem),3.140,1.900
2,8:55,4,3,CHI 25,0,17,Cameron Dicker 43 yard field goal good,1.900,3.000
2,8:50,,,LAC 35,0,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,8:50,1,10,CHI 25,0,17,Tyson Bagent pass incomplete short middle intended for D'Onta Foreman (defended by Kenneth Murray),0.610,0.060
2,8:46,2,10,CHI 25,0,17,D'Onta Foreman left tackle for 4 yards (tackle by Kenneth Murray and Austin Johnson),0.060,-0.100
2,8:05,3,6,CHI 29,0,17,Tyson Bagent pass complete short left to D.J. Moore for 18 yards (tackle by Derwin James),-0.100,2.060
2,7:16,1,10,CHI 47,0,17,D'Onta Foreman left tackle for 5 yards (tackle by Scott Matlock),2.060,2.190
2,6:37,2,5,LAC 48,0,17,D'Onta Foreman up the middle for 6 yards (tackle by Morgan Fox and Kenneth Murray),2.190,2.790
2,5:55,1,10,LAC 42,0,17,D'Onta Foreman left tackle for 2 yards (tackle by Eric Kendricks and Austin Johnson),2.790,2.510
2,5:20,2,8,LAC 40,0,17,Tyson Bagent pass incomplete deep left intended for Velus Jones,2.510,1.820
2,5:14,3,8,LAC 40,0,17,Tyson Bagent pass complete short right to Cole Kmet for 10 yards (tackle by Eric Kendricks),1.820,3.580
2,4:30,1,10,LAC 30,0,17,Tyson Bagent pass complete short left to D'Onta Foreman for no gain (tackle by Asante Samuel and Derwin James) (no play),3.580,3.250
2,4:09,1,15,LAC 35,0,17,Tyson Bagent pass complete short right to Cole Kmet for 6 yards (tackle by Derwin James and Kenneth Murray),3.250,3.170
2,3:31,2,9,LAC 29,0,17,Roschon Johnson right tackle for 1 yard (tackle by Eric Kendricks and Joey Bosa),3.170,2.610
2,2:52,3,8,LAC 28,0,17,Tyson Bagent pass complete short right to D.J. Moore for 11 yards (tackle by Derwin James and Michael Davis),2.610,4.440
2,2:09,1,10,LAC 17,0,17,Tyson Bagent pass complete short left to Cole Kmet for 3 yards (tackle by Michael Davis),4.440,4.320
2,2:00,2,7,LAC 14,0,17,Darnell Mooney scrambles left end for 3 yards (tackle by Kenneth Murray),4.320,4.100
2,1:52,3,4,LAC 11,6,17,"Darrynton Evans right end for 11 yards, touchdown",4.100,7.000
2,1:47,,,LAC 15,7,17,Cairo Santos kicks extra point good,0.000,0.000
2,1:47,,,CHI 35,7,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,1:47,1,10,LAC 25,7,17,Justin Herbert pass incomplete short middle,0.610,0.060
2,1:43,2,10,LAC 25,7,17,Justin Herbert pass complete short right to Quentin Johnston for 11 yards (tackle by Tyrique Stevenson),0.060,1.330
2,1:23,1,10,LAC 36,7,17,Justin Herbert pass complete short left to Quentin Johnston for 12 yards (tackle by Duron Harmon),1.330,2.130
2,1:01,1,10,LAC 48,7,17,"Justin Herbert scrambles left end for no gain (tackle by T.J. Edwards). Penalty on DeMarcus Walker: Defensive Offside, 5 yards (accepted) (no play)",2.130,2.860
2,0:50,1,5,CHI 47,7,17,Justin Herbert pass complete short left to Austin Ekeler for 23 yards (tackle by Duron Harmon),2.860,3.970
2,0:42,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:42,1,10,CHI 24,7,17,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Kyler Gordon),3.970,4.460
2,0:37,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:37,2,3,CHI 17,7,17,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Jaylon Johnson),4.460,3.750
2,0:32,3,3,CHI 17,7,17,Justin Herbert pass complete short middle to Quentin Johnston for 6 yards (tackle by Duron Harmon),3.750,4.840
2,0:15,1,10,CHI 11,7,17,Justin Herbert pass incomplete short middle intended for Josh Palmer (defended by Justin Jones),4.840,4.140
2,0:11,2,10,CHI 11,7,23,"Justin Herbert pass complete short right to Donald Parham for 11 yards, touchdown",4.140,7.000
2,0:04,,,CHI 15,7,24,Cameron Dicker kicks extra point good,0.000,0.000
2,0:04,,,LAC 35,7,24,"Cameron Dicker kicks off 44 yards, returned by Roschon Johnson for no gain",0.000,0.340
2,0:03,1,10,CHI 21,7,24,Tyson Bagent kneels for -1 yards,0.340,-0.340
Quarter,Time,Down,ToGo,Location,CHI,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,7,24,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,7,24,Austin Ekeler right tackle for -3 yards (tackle by Justin Jones and Andrew Billings),0.610,-0.340
3,14:19,2,13,LAC 22,7,24,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Tyrique Stevenson),-0.340,-0.100
3,13:44,3,6,LAC 29,7,24,Justin Herbert pass complete short left to Austin Ekeler for 9 yards (tackle by Jaylon Johnson),-0.100,1.470
3,13:04,1,10,LAC 38,7,24,Justin Herbert pass complete short left to Derius Davis for -1 yards (tackle by Duron Harmon),1.470,0.790
3,12:36,2,11,LAC 37,7,24,", recovered by Justin Herbert at LAC-37 Justin Herbert pass incomplete. Penalty on Andrew Billings: Defensive Offside, 5 yards (accepted) (no play)",0.790,1.460
3,12:22,2,6,LAC 42,7,24,Austin Ekeler left guard for 5 yards (tackle by Jack Sanborn),1.460,1.420
3,11:53,3,1,LAC 47,7,24,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",1.420,0.760
3,11:34,3,6,LAC 42,7,24,Justin Herbert pass complete short right to Donald Parham for 17 yards (tackle by Jaylon Jones),0.760,2.850
3,10:56,1,10,CHI 41,7,24,"Justin Herbert pass incomplete deep right intended for Keenan Allen. Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",2.850,2.190
3,10:55,1,20,LAC 49,7,24,Austin Ekeler right end for 6 yards (tackle by T.J. Edwards and Tyrique Stevenson),2.190,1.770
3,10:18,2,14,CHI 45,7,24,Justin Herbert pass complete short middle to Derius Davis for 5 yards (tackle by Kyler Gordon and T.J. Edwards),1.770,1.750
3,9:36,3,9,CHI 40,7,24,Justin Herbert pass complete short middle to Keenan Allen for 5 yards (tackle by Jack Sanborn),1.750,0.980
3,8:56,4,4,CHI 35,7,27,Cameron Dicker 53 yard field goal good,0.980,3.000
3,8:51,,,LAC 35,7,27,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,8:51,1,10,CHI 25,7,27,D'Onta Foreman right guard for no gain (tackle by Sebastian Joseph-Day),0.610,0.060
3,8:12,2,10,CHI 25,7,27,Tyson Bagent pass complete short middle to D'Onta Foreman for 2 yards (tackle by Eric Kendricks),0.060,-0.360
3,7:33,3,8,CHI 27,7,27,Tyson Bagent pass incomplete short middle intended for D.J. Moore (defended by Eric Kendricks),-0.360,-1.570
3,7:24,4,8,CHI 27,7,27,"Trenton Gill punts 47 yards, returned by Derius Davis for 6 yards (tackle by Noah Sewell)",-1.570,-1.070
3,7:14,1,10,LAC 32,7,27,Austin Ekeler up the middle for -1 yards (tackle by T.J. Edwards),1.070,0.390
3,6:34,2,11,LAC 31,7,27,Justin Herbert pass incomplete deep left intended for Keenan Allen,0.390,-0.290
3,6:24,3,11,LAC 31,7,27,Justin Herbert pass incomplete deep right intended for Simi Fehoko,-0.290,-1.310
3,6:19,4,11,LAC 31,7,27,"JK Scott punts 63 yards, returned by Trent Taylor for 14 yards (tackle by Tanner Muse)",-1.310,-0.280
3,6:08,1,10,CHI 20,7,27,Roschon Johnson right end for 5 yards (tackle by Eric Kendricks and Nick Williams),0.280,0.410
3,5:24,2,5,CHI 25,7,27,"Penalty on Marcedes Lewis: False Start, 5 yards (accepted) (no play)",0.410,-0.270
3,5:14,2,10,CHI 20,7,27,Tyson Bagent pass complete short right to Cole Kmet for 7 yards (tackle by Kenneth Murray),-0.270,-0.030
3,4:38,3,3,CHI 27,7,27,Tyson Bagent pass complete short right to Cole Kmet for 2 yards (tackle by Derwin James and Kenneth Murray),-0.030,-1.440
3,3:58,4,1,CHI 29,7,27,Roschon Johnson right guard for no gain (tackle by Joey Bosa and Sebastian Joseph-Day),-1.440,-3.640
3,3:52,1,10,CHI 29,7,27,Austin Ekeler right end for 1 yard (tackle by Jaylon Johnson and T.J. Edwards),3.640,3.240
3,3:16,2,9,CHI 28,7,27,Justin Herbert pass incomplete short right intended for Austin Ekeler,3.240,2.540
3,3:10,3,9,CHI 28,7,27,Justin Herbert pass incomplete short left intended for Keenan Allen,2.540,1.590
3,3:05,4,9,CHI 28,7,30,Cameron Dicker 46 yard field goal good,1.590,3.000
3,3:00,,,LAC 35,7,30,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,3:00,1,10,CHI 25,7,30,Tyson Bagent pass complete short left to D.J. Moore for 18 yards (tackle by Eric Kendricks),0.610,1.800
3,2:33,1,10,CHI 43,7,30,D'Onta Foreman up the middle for 12 yards (tackle by Derwin James),1.800,2.590
3,2:13,1,10,LAC 45,7,30,Tyson Bagent pass complete short right to Tyler Scott for 11 yards (tackle by Asante Samuel),2.590,3.310
3,1:50,1,10,LAC 34,7,30,D'Onta Foreman up the middle for 4 yards (tackle by Joey Bosa and Austin Johnson),3.310,3.310
3,1:09,2,6,LAC 30,7,30,Tyson Bagent pass complete short right to Cole Kmet for 4 yards (tackle by Eric Kendricks and Scott Matlock),3.310,3.140
3,0:37,3,2,LAC 26,7,30,D'Onta Foreman left guard for no gain (tackle by Chris Rumph),3.140,1.860
Quarter,Time,Down,ToGo,Location,CHI,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,LAC 26,7,30,Tyson Bagent pass incomplete short right intended for Darrynton Evans (defended by Asante Samuel),1.860,-0.740
4,14:57,1,10,LAC 27,7,30,Austin Ekeler up the middle for 3 yards (tackle by Jack Sanborn and T.J. Edwards),0.740,0.600
4,14:22,2,7,LAC 30,7,30,Justin Herbert pass incomplete short right,0.600,-0.100
4,14:18,3,7,LAC 30,7,30,Justin Herbert pass complete deep right to Keenan Allen for 26 yards,-0.100,2.650
4,13:36,1,10,CHI 44,7,30,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Tyrique Stevenson),2.650,2.920
4,12:59,2,4,CHI 38,7,30,Joshua Kelley right guard for 3 yards (tackle by Jack Sanborn),2.920,2.610
4,12:28,3,1,CHI 35,7,30,Austin Ekeler up the middle for no gain (tackle by Justin Jones and Andrew Billings),2.610,1.000
4,11:38,4,1,CHI 35,7,30,"Austin Ekeler left tackle for no gain (tackle by Elijah Hicks). Penalty on Tre' McKitty: Offensive Holding, 10 yards (declined)",1.000,-1.270
4,11:38,1,10,CHI 35,7,30,Tyson Bagent pass incomplete deep right intended for Tyler Scott,1.270,0.720
4,11:32,2,10,CHI 35,7,30,Tyson Bagent pass complete short left to Robert Tonyan for 8 yards (tackle by Asante Samuel),0.720,1.160
4,11:09,3,1,CHI 43,7,30,Darrynton Evans up the middle for 2 yards (tackle by Chris Rumph and Nick Williams),1.160,1.930
4,10:47,1,10,CHI 45,7,30,Tyson Bagent pass complete short right to Darrynton Evans for 8 yards (tackle by Asante Samuel),1.930,2.460
4,10:22,2,2,LAC 47,7,30,Tyson Bagent pass complete short right to Cole Kmet for 9 yards (tackle by Kenneth Murray),2.460,3.050
4,9:58,1,10,LAC 38,7,30,Tyson Bagent pass complete short left to Darrynton Evans for 6 yards (tackle by Eric Kendricks),3.050,3.320
4,9:33,2,4,LAC 32,7,30,Darrynton Evans up the middle for 1 yard (tackle by Kenneth Murray),3.320,2.740
4,9:12,3,3,LAC 31,7,30,Tyson Bagent pass incomplete short left intended for Tyler Scott (defended by Asante Samuel),2.740,1.380
4,9:04,4,3,LAC 31,7,30,Tyson Bagent pass short middle (defended by Alohi Gilman) intended for Darnell Mooney is intercepted by Derwin James at LAC-19 and returned for 6 yards (tackle by Tyler Scott),1.380,-0.610
4,8:54,1,10,LAC 25,7,30,"Austin Ekeler right tackle for -2 yards (tackle by Andrew Billings). Penalty on Rashawn Slater: Offensive Holding, 10 yards (declined)",0.610,-0.210
4,8:33,2,12,LAC 23,7,30,Austin Ekeler up the middle for 7 yards (tackle by Jack Sanborn),-0.210,0.040
4,7:55,3,5,LAC 30,7,30,Justin Herbert pass complete deep right to Quentin Johnston for 18 yards (tackle by Tyrique Stevenson),0.040,2.130
4,7:07,1,10,LAC 48,7,30,Joshua Kelley right tackle for 3 yards (tackle by Rasheem Green and Jack Sanborn),2.130,1.990
4,6:26,2,7,CHI 49,7,30,"Justin Herbert pass complete short right to Austin Ekeler for -6 yards. Austin Ekeler fumbles (forced by Zacch Pickens) (tackle by Justin Jones), recovered by T.J. Edwards at LAC-41 (tackle by Zacch Pickens) (tackle by Justin Jones) (tackle by Zacch Pickens)",1.990,-2.850
4,6:14,1,10,LAC 41,7,30,Tyson Bagent pass complete short left to Roschon Johnson for 3 yards (tackle by Daiyan Henley),2.850,2.710
4,5:49,2,7,LAC 38,7,30,Tyson Bagent pass complete short left to Roschon Johnson for no gain (tackle by Daiyan Henley),2.710,2.020
4,5:10,3,7,LAC 38,7,30,Tyson Bagent pass complete short right to Cole Kmet for 8 yards (tackle by Essang Bassey),2.020,3.580
4,4:39,1,10,LAC 30,7,30,Tyson Bagent pass complete deep middle to Cole Kmet for 17 yards (tackle by Dean Marlowe),3.580,4.710
4,4:11,1,10,LAC 13,7,30,Tyson Bagent pass incomplete short right intended for Roschon Johnson,4.710,4.050
4,4:06,2,10,LAC 13,7,30,Tyson Bagent pass incomplete short right intended for Darnell Mooney,4.050,3.120
4,4:00,3,10,LAC 13,7,30,Tyson Bagent pass complete short right to Darrynton Evans for 8 yards (tackle by Dean Marlowe),3.120,3.030
4,3:20,4,2,LAC 5,7,30,Darrynton Evans up the middle for 4 yards (tackle by Tuli Tuipulotu and Nick Niemann),3.030,6.970
4,2:54,1,1,LAC 1,7,30,Tyson Bagent right guard for no gain (tackle by Dean Marlowe),6.970,5.910
4,2:22,2,1,LAC 1,13,30,"Tyson Bagent up the middle for 1 yard, touchdown",5.910,7.000
4,2:12,,,LAC 2,13,30,Two Point Attempt: Tyson Bagent pass incomplete intended for Khari Blasingame,1.000,-1.000
4,2:12,,,CHI 35,13,30,"Cairo Santos kicks onside 9 yards, returned by Keenan Allen for no gain",0.000,2.650
4,2:08,1,10,CHI 44,13,30,Isaiah Spiller left guard for 1 yard (tackle by Elijah Hicks),2.650,2.250
4,2:00,2,9,CHI 43,13,30,Isaiah Spiller left guard for no gain (tackle by T.J. Edwards),2.250,1.550
4,1:17,3,9,CHI 43,13,30,Isaiah Spiller left tackle for 2 yards (tackle by T.J. Edwards),1.550,0.530
4,0:30,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:30,4,7,CHI 41,13,30,"JK Scott punts 25 yards, fair catch by Trent Taylor at CHI-16",0.530,0.140
4,0:22,1,10,CHI 16,13,30,Tyson Bagent kneels for -1 yards,-0.140,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
