Quarter,Time,Tm,Detail,CHI,LAC
1.0,7:08,Chargers,Austin Ekeler 39 yard pass from Justin Herbert (Cameron Dicker kick),0,7
,0:43,Chargers,Simi Fehoko 9 yard pass from Justin Herbert (Cameron Dicker kick),0,14
2.0,8:50,Chargers,Cameron Dicker 43 yard field goal,0,17
,1:47,Bears,Darrynton Evans 11 yard rush (Cairo Santos kick),7,17
,0:04,Chargers,Donald Parham 11 yard pass from Justin Herbert (Cameron Dicker kick),7,24
3.0,8:51,Chargers,Cameron Dicker 53 yard field goal,7,27
,3:00,Chargers,Cameron Dicker 46 yard field goal,7,30
4.0,2:12,Bears,Tyson Bagent 1 yard rush (pass failed),13,30
