Quarter,Time,Tm,Detail,NWE,NYJ
2.0,8:48,Patriots,Cam Cleeland 1 yard pass from Tom Brady (Adam Vinatieri kick),7,0
,0:01,Patriots,Adam Vinatieri 28 yard field goal,10,0
3.0,13:35,Patriots,Tebucky Jones 24 yard defensive fumble return (Adam Vinatieri kick),17,0
,5:35,Patriots,Adam Vinatieri 31 yard field goal,20,0
,2:44,Patriots,Victor Green 90 yard interception return (Adam Vinatieri kick),27,0
,0:51,Jets,Anthony Becht 11 yard pass from Vinny Testaverde (John Hall kick),27,7
4.0,10:54,Patriots,Deion Branch 49 yard pass from Tom Brady (Adam Vinatieri kick),34,7
,8:42,Patriots,Adam Vinatieri 40 yard field goal,37,7
,3:10,Patriots,Kevin Faulk 2 yard rush (Adam Vinatieri kick),44,7
