Unnamed: 0,KAN,TAM
First Downs,15,19
Rush-Yds-TDs,30-80-0,24-145-1
Cmp-Att-Yd-TD-INT,22-38-180-0-2,15-26-328-3-1
Sacked-Yards,0-0,1-10
Net Pass Yards,180,318
Total Yards,260,463
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,7-55,6-33
Third Down Conv.,6-17,4-9
Fourth Down Conv.,1-3,0-0
Time of Possession,33:11,26:49
