Quarter,Time,Tm,Detail,KAN,TAM
1.0,0:18,Buccaneers,Mike Williams 62 yard pass from Josh Freeman (Connor Barth kick),0,7
2.0,7:45,Chiefs,Ryan Succop 38 yard field goal,3,7
3.0,12:46,Buccaneers,Vincent Jackson 19 yard pass from Josh Freeman (Connor Barth kick),3,14
,9:36,Buccaneers,Ronde Barber 78 yard interception return (Connor Barth kick),3,21
4.0,14:01,Chiefs,Edgar Jones 11 yard blocked punt return (Ryan Succop kick),10,21
,10:34,Buccaneers,Connor Barth 27 yard field goal,10,24
,6:43,Buccaneers,Vincent Jackson 17 yard pass from Josh Freeman (Connor Barth kick),10,31
,1:53,Buccaneers,LeGarrette Blount 12 yard rush (Connor Barth kick),10,38
