Unnamed: 0,NOR,DAL
First Downs,33,18
Rush-Yds-TDs,38-116-1,11-40-0
Cmp-Att-Yd-TD-INT,37-53-446-3-0,26-43-416-4-0
Sacked-Yards,0-0,2-10
Net Pass Yards,446,406
Total Yards,562,446
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,6-42,5-32
Third Down Conv.,11-19,2-10
Fourth Down Conv.,0-0,1-1
Time of Possession,41:59,22:28
