Quarter,Time,Tm,Detail,NOR,DAL
1,10:25,Saints,Mark Ingram 9 yard rush (Garrett Hartley kick),7,0
2,12:47,Cowboys,Dez Bryant 58 yard pass from Tony Romo (Dan Bailey kick),7,7
,5:43,Cowboys,Dez Bryant 58 yard pass from Tony Romo (Dan Bailey kick),7,14
,1:11,Saints,Lance Moore 6 yard pass from Drew Brees (Garrett Hartley kick),14,14
,0:00,Saints,Garrett Hartley 37 yard field goal,17,14
3,10:26,Cowboys,Dan Bailey 47 yard field goal,17,17
,4:03,Saints,Pierre Thomas 5 yard pass from Drew Brees (Garrett Hartley kick),24,17
4,11:10,Saints,David Thomas 3 yard pass from Drew Brees (Garrett Hartley kick),31,17
,3:35,Cowboys,Dwayne Harris 16 yard pass from Tony Romo (Dan Bailey kick),31,24
,0:15,Cowboys,Miles Austin 19 yard pass from Tony Romo (Dan Bailey kick),31,31
OT,10:33,Saints,Garrett Hartley 20 yard field goal,34,31
