Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
1,9:14,1,10,DAL 37,7,0,Tony Romo pass complete short left to Dez Bryant for 13 yards (tackle by Patrick Robinson),1.400,2.260
1,8:38,1,10,NOR 50,7,0,Tony Romo pass incomplete short right intended for John Phillips,2.260,1.710
1,8:30,2,10,NOR 50,7,0,Tony Romo pass complete short right to Miles Austin for 7 yards (tackle by Roman Harper),1.710,1.950
1,7:59,3,3,NOR 43,7,0,Tony Romo sacked by Tom Johnson for -8 yards,1.950,-0.130
1,7:35,4,11,DAL 49,7,0,"Brian Moorman punts 42 yards, fair catch by Darren Sproles",-0.130,0.380
1,7:28,1,10,NOR 9,7,0,Darren Sproles left tackle for 1 yard (tackle by Jason Hatcher),-0.380,-0.710
1,6:51,2,9,NOR 10,7,0,Drew Brees pass complete short left to Lance Moore for 11 yards (tackle by Morris Claiborne),-0.710,0.340
1,6:17,1,10,NOR 21,7,0,Drew Brees pass incomplete short right intended for Devery Henderson,0.340,-0.200
1,6:12,2,10,NOR 21,7,0,Darren Sproles left end for 1 yard (tackle by Sterling Moore),-0.200,-0.760
1,5:33,3,9,NOR 22,7,0,"Penalty on Jermon Bushrod: False Start, 5 yards (no play)",-0.760,-1.590
1,5:14,3,14,NOR 17,7,0,Drew Brees pass complete short left to Darren Sproles for 14 yards (tackle by Gerald Sensabaugh),-1.590,1.000
1,4:34,1,10,NOR 31,7,0,Drew Brees pass incomplete short middle intended for Marques Colston,1.000,0.460
1,4:28,2,10,NOR 31,7,0,Drew Brees pass complete short left to Marques Colston for 9 yards (tackle by Morris Claiborne),0.460,0.960
1,3:53,3,1,NOR 40,7,0,Mark Ingram left guard for 2 yards (tackle by Tyrone Crawford),0.960,1.730
1,3:19,1,10,NOR 42,7,0,Mark Ingram left tackle for 2 yards (tackle by Brian Schaefering and Dan Connor),1.730,1.460
1,2:44,2,8,NOR 44,7,0,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",1.460,0.780
1,2:26,2,13,NOR 39,7,0,Drew Brees pass complete short left to Jimmy Graham for 13 yards (tackle by Michael Coe),0.780,2.390
1,1:59,1,10,DAL 48,7,0,Darren Sproles up the middle for 5 yards (tackle by Ernie Sims),2.390,2.520
1,1:23,2,5,DAL 43,7,0,Drew Brees pass complete short left to Pierre Thomas for 16 yards (tackle by Morris Claiborne),2.520,3.780
1,0:44,1,10,DAL 27,7,0,Mark Ingram right end for 9 yards (tackle by Anthony Spencer),3.780,4.530
1,0:15,2,1,DAL 18,7,0,Mark Ingram left tackle for no gain (tackle by Sean Lissemore),4.530,3.840
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,DAL 18,7,0,Mark Ingram right guard for no gain (tackle by Marcus R. Spears and Dan Connor),3.840,2.400
2,14:19,4,1,DAL 18,7,0,Garrett Hartley 36 yard field goal no good,2.400,-0.670
2,14:15,1,10,DAL 26,7,0,DeMarco Murray left tackle for 6 yards (tackle by Curtis Lofton),0.670,0.940
2,13:37,2,4,DAL 32,7,0,Tony Romo pass complete short right to Dez Bryant for 10 yards (tackle by Patrick Robinson),0.940,1.730
2,12:57,1,10,DAL 42,7,6,"Tony Romo pass complete deep right to Dez Bryant for 58 yards, touchdown",1.730,7.000
2,12:57,,,NOR 2,7,7,Dan Bailey kicks extra point good,0.000,0.000
2,12:47,,,DAL 35,7,7,"Dan Bailey kicks off 62 yards, muffed catch by Pierre Thomas, recovered by Pierre Thomas at NO-3, and returned for 11 yards",0.000,-0.280
2,12:40,1,10,NOR 14,7,7,Mark Ingram right guard for 2 yards (tackle by Alex Albright and Marcus R. Spears),-0.280,-0.510
2,12:06,2,8,NOR 16,7,7,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Dan Connor),-0.510,-0.920
2,11:23,3,6,NOR 18,7,7,Drew Brees pass complete short left to Lance Moore for 7 yards,-0.920,0.610
2,11:01,1,10,NOR 25,7,7,"Mark Ingram right tackle for 1 yard (tackle by Brandon Carr). Penalty on David Thomas: Offensive Holding, 10 yards",0.610,-0.280
2,10:41,1,19,NOR 16,7,7,"Darren Sproles right tackle for no gain (tackle by Alex Albright and Dan Connor). Penalty on Zach Strief: Offensive Holding, 8 yards (no play)",-0.280,-1.030
2,10:22,1,27,NOR 8,7,7,Drew Brees pass incomplete short right intended for Darren Sproles,-1.030,-2.020
2,10:16,2,27,NOR 8,7,7,Pierre Thomas left end for -2 yards (tackle by Jason Hatcher),-2.020,-3.640
2,9:42,3,29,NOR 6,7,7,Drew Brees pass complete short left to Darren Sproles for 17 yards (tackle by Mike Jenkins),-3.640,-1.830
2,9:20,4,12,NOR 23,7,7,"Thomas Morstead punts 63 yards, returned by Dwayne Harris for 11 yards (tackle by Ramon Humber)",-1.830,-0.610
2,9:06,1,10,DAL 25,7,7,"DeMarco Murray left end for 9 yards (tackle by Roman Harper). Penalty on Lawrence Vickers: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,8:43,1,20,DAL 15,7,7,DeMarco Murray right end for 5 yards (tackle by Jonathan Casillas and Isa Abdul-Quddus),-0.410,-0.610
2,7:57,2,15,DAL 20,7,7,Tony Romo pass complete short left to Dez Bryant for 6 yards (tackle by Patrick Robinson),-0.610,-0.490
2,7:11,3,9,DAL 26,7,7,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Martez Wilson),-0.490,1.470
2,6:32,1,10,DAL 38,7,7,DeMarco Murray right tackle for 4 yards (tackle by David Hawthorne),1.470,1.460
2,5:54,2,6,DAL 42,7,13,"Tony Romo pass complete short left to Dez Bryant for 58 yards, touchdown",1.460,7.000
2,5:54,,,NOR 2,7,14,Dan Bailey kicks extra point good,0.000,0.000
2,5:43,,,DAL 35,7,14,"Dan Bailey kicks off 64 yards, returned by Travaris Cadet for 18 yards (tackle by Alex Albright). Penalty on Michael Higgins: Defensive Holding, 9 yards",0.000,-0.380
2,5:35,1,10,NOR 10,7,14,Drew Brees pass complete deep left to Marques Colston for 21 yards (tackle by Brandon Carr),-0.380,1.000
2,5:00,1,10,NOR 31,7,14,Darren Sproles left end for 11 yards (tackle by Charlie Peprah),1.000,1.730
2,4:27,1,10,NOR 42,7,14,Drew Brees pass complete short right to Mark Ingram for 7 yards (tackle by Brady Poppinga and Dan Connor),1.730,2.130
2,3:50,2,3,NOR 49,7,14,Drew Brees pass complete short left to Marques Colston for 4 yards (tackle by Morris Claiborne),2.130,2.460
2,3:15,1,10,DAL 47,7,14,Drew Brees pass complete short right to Pierre Thomas for 7 yards (tackle by Brady Poppinga and Anthony Spencer),2.460,2.860
2,2:29,2,3,DAL 40,7,14,Drew Brees pass complete short right to Marques Colston for 8 yards (tackle by Gerald Sensabaugh),2.860,3.450
2,2:00,1,10,DAL 32,7,14,Mark Ingram left end for 9 yards (tackle by Eric Frampton),3.450,4.120
2,1:53,2,1,DAL 23,7,14,Drew Brees pass incomplete short left intended for Jimmy Graham (defended by Eric Frampton),4.120,0.000
2,1:44,,,,7,14,Timeout #1 by Dallas Cowboys,0.000,3.400
2,1:44,3,1,DAL 23,7,14,Drew Brees pass incomplete short left intended for Jimmy Graham (defended by Brady Poppinga),3.400,0.000
2,1:40,,,,7,14,Timeout #1 by New Orleans Saints,0.000,2.080
2,1:40,4,1,DAL 23,7,14,"Drew Brees pass incomplete short left intended for Marques Colston. Penalty on Anthony Spencer: Defensive Offside, 5 yards (no play)",2.080,4.370
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,1:35,1,10,DAL 18,7,14,Drew Brees pass complete short right to Pierre Thomas for 16 yards (tackle by Dan Connor and Anthony Spencer),4.370,0.000
2,1:23,,,,7,14,Timeout #2 by Dallas Cowboys,0.000,6.740
2,1:23,1,2,DAL 2,7,14,Mark Ingram left end for -4 yards (tackle by Dan Connor),6.740,0.000
2,1:16,,,,7,14,Timeout #3 by Dallas Cowboys,0.000,4.950
2,1:16,2,6,DAL 6,13,14,"Drew Brees pass complete short right to Lance Moore for 6 yards, touchdown",4.950,7.000
2,1:16,,,DAL 2,14,14,Garrett Hartley kicks extra point good,0.000,0.000
2,1:11,,,NOR 35,14,14,"Thomas Morstead kicks off 74 yards, touchback",0.000,0.280
2,1:11,1,10,DAL 20,14,14,Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by Jabari Greer),0.280,0.680
2,1:06,2,3,DAL 27,14,14,Tony Romo pass incomplete,0.680,-0.030
2,0:59,3,3,DAL 27,14,14,Tony Romo pass incomplete short left intended for Dez Bryant,-0.030,-1.570
2,0:56,4,3,DAL 27,14,14,"Brian Moorman punts 43 yards, fair catch by Darren Sproles",-1.570,-0.940
2,0:47,1,10,NOR 30,14,14,Drew Brees pass complete short middle to Darren Sproles for 44 yards (tackle by Charlie Peprah),0.940,3.840
2,0:24,1,10,DAL 26,14,14,Drew Brees pass complete short middle to Darren Sproles for 2 yards (tackle by Dan Connor),3.840,0.000
2,0:20,,,,14,14,Timeout #2 by New Orleans Saints,0.000,3.570
2,0:20,2,8,DAL 24,14,14,Drew Brees pass complete short right to Darren Sproles for 5 yards (tackle by Dan Connor),3.570,0.000
2,0:12,,,,14,14,Timeout #3 by New Orleans Saints,0.000,3.570
2,0:12,3,3,DAL 19,14,14,Drew Brees pass incomplete deep left intended for Marques Colston (defended by Morris Claiborne),3.570,2.280
2,0:04,4,3,DAL 19,17,14,Garrett Hartley 37 yard field goal good,2.280,3.000
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,17,14,"Thomas Morstead kicks off 52 yards, muffed catch by Dwayne Harris, recovered by James Hanna and returned for no gain",0.000,0.540
3,14:55,1,10,DAL 24,17,14,DeMarco Murray right end for 5 yards (tackle by Isa Abdul-Quddus),0.540,0.670
3,14:13,2,5,DAL 29,17,14,Tony Romo pass complete deep right to Miles Austin for 16 yards (tackle by Isa Abdul-Quddus),0.670,1.930
3,13:25,1,10,DAL 45,17,14,Tony Romo pass complete short left to Kevin Ogletree for 12 yards (tackle by Patrick Robinson). Penalty on Cameron Jordan: Defensive Offside (Declined),1.930,2.720
3,13:09,1,10,NOR 43,17,14,DeMarco Murray left end for 9 yards (tackle by Roman Harper and Patrick Robinson),2.720,3.390
3,12:37,2,1,NOR 34,17,14,DeMarco Murray up the middle for 5 yards (tackle by Curtis Lofton),3.390,3.640
3,11:49,1,10,NOR 29,17,14,DeMarco Murray right tackle for -6 yards (tackle by Cameron Jordan),3.640,2.290
3,11:09,2,16,NOR 35,17,14,Tony Romo pass complete short right to Jason Witten for 6 yards (tackle by Jonathan Casillas),2.290,2.410
3,10:38,3,10,NOR 29,17,14,Tony Romo pass incomplete short right intended for Dez Bryant,2.410,1.500
3,10:31,4,10,NOR 29,17,17,Dan Bailey 47 yard field goal good,1.500,3.000
3,10:26,,,DAL 35,17,17,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,10:26,1,10,NOR 20,17,17,Mark Ingram left guard for 5 yards (tackle by Jason Hatcher),0.280,0.410
3,9:49,2,5,NOR 25,17,17,Drew Brees pass incomplete short right intended for Pierre Thomas,0.410,-0.300
3,9:42,3,5,NOR 25,17,17,Drew Brees pass complete short right to Jimmy Graham for 16 yards (tackle by Brandon Carr and Gerald Sensabaugh),-0.300,1.660
3,9:07,1,10,NOR 41,17,17,Darren Sproles up the middle for 5 yards (tackle by Jason Hatcher and Sean Lissemore),1.660,1.800
3,8:38,2,5,NOR 46,17,17,Mark Ingram left tackle for -3 yards (tackle by Anthony Spencer). Penalty on Eric Olsen: Offensive Holding (Declined),1.800,0.700
3,8:13,3,8,NOR 43,17,17,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Sterling Moore),0.700,-0.520
3,8:07,4,8,NOR 43,17,17,"Thomas Morstead punts 41 yards, out of bounds",-0.520,0.140
3,8:00,1,10,DAL 16,17,17,Tony Romo pass incomplete short right intended for Jason Witten,-0.140,-0.660
3,7:53,2,10,DAL 16,17,17,DeMarco Murray right end for 2 yards (tackle by Cameron Jordan),-0.660,-1.070
3,7:08,3,8,DAL 18,17,17,Tony Romo pass incomplete deep right intended for Miles Austin,-1.070,-2.240
3,7:00,4,8,DAL 18,17,17,"Brian Moorman punts 57 yards, returned by Darren Sproles for 2 yards (tackle by Lance Dunbar)",-2.240,-0.740
3,6:48,1,10,NOR 27,17,17,Drew Brees pass complete short middle to Pierre Thomas for 2 yards (tackle by Dan Connor),0.740,0.470
3,6:15,2,8,NOR 29,17,17,Drew Brees pass complete short left to Lance Moore for 6 yards (tackle by Morris Claiborne),0.470,0.560
3,5:30,3,2,NOR 35,17,17,"Drew Brees pass incomplete short middle intended for Marques Colston. Penalty on Brady Poppinga: Defensive Pass Interference, 3 yards (no play)",0.560,1.470
3,5:24,1,10,NOR 38,17,17,Darren Sproles left end for 5 yards (tackle by Dan Connor),1.470,1.600
3,4:50,2,5,NOR 43,17,17,Drew Brees pass incomplete short left intended for Jimmy Graham,1.600,0.890
3,4:43,3,5,NOR 43,17,17,Drew Brees pass incomplete short left intended for Darren Sproles (defended by Gerald Sensabaugh),0.890,-0.520
3,4:37,4,5,NOR 43,17,17,Thomas Morstead punts 54 yards,-0.520,0.380
3,4:25,1,10,DAL 3,17,17,"DeMarco Murray left guard for 2 yards (tackle by Curtis Lofton). DeMarco Murray fumbles (forced by Curtis Lofton), recovered by Curtis Lofton at DAL-5",-0.380,-6.060
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
3,4:17,1,5,DAL 5,17,17,Drew Brees pass incomplete short left intended for Lance Moore (defended by Morris Claiborne),6.060,5.150
3,4:12,2,5,DAL 5,17,17,Drew Brees pass incomplete short right intended for Darren Sproles,5.150,4.260
3,4:08,3,5,DAL 5,23,17,"Drew Brees pass complete short middle to Pierre Thomas for 5 yards, touchdown",4.260,7.000
3,4:08,,,DAL 2,24,17,Garrett Hartley kicks extra point good,0.000,0.000
3,4:03,,,NOR 35,24,17,"Thomas Morstead kicks off 71 yards, touchback",0.000,0.280
3,4:03,1,10,DAL 20,24,17,Tony Romo pass complete short middle to James Hanna for 8 yards (tackle by Jonathan Vilma),0.280,0.810
3,3:24,2,2,DAL 28,24,17,Tony Romo pass complete short right to Miles Austin for 3 yards (tackle by Curtis Lofton and Johnny Patrick),0.810,1.000
3,2:39,1,10,DAL 31,24,17,"Penalty on Jason Witten: False Start, 5 yards (no play)",1.000,0.670
3,2:20,1,15,DAL 26,24,17,Tony Romo pass incomplete short right intended for Felix Jones (defended by Cameron Jordan),0.670,-0.220
3,2:15,2,15,DAL 26,24,17,Tony Romo pass complete short left to DeMarco Murray for 9 yards (tackle by Curtis Lofton),-0.220,0.300
3,1:25,3,6,DAL 35,24,17,Tony Romo pass incomplete short left intended for DeMarco Murray,0.300,-1.040
3,1:18,4,6,DAL 35,24,17,Brian Moorman punts 63 yards,-1.040,0.380
3,1:03,1,10,NOR 2,24,17,Mark Ingram up the middle for 2 yards (tackle by Alex Albright and Brian Schaefering),-0.380,-0.630
3,0:30,2,8,NOR 4,24,17,Drew Brees pass complete short right to Marques Colston for 6 yards (tackle by Brandon Carr),-0.630,-0.480
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,NOR 10,24,17,Pierre Thomas up the middle for 6 yards (tackle by Gerald Sensabaugh),-0.480,-0.140
4,14:23,1,10,NOR 16,24,17,Pierre Thomas left guard for -2 yards (tackle by Victor Butler),-0.140,-0.890
4,13:46,2,12,NOR 14,24,17,Pierre Thomas left tackle for 5 yards (tackle by Brady Poppinga),-0.890,-0.950
4,13:14,3,7,NOR 19,24,17,Drew Brees pass complete short middle to Jimmy Graham for 16 yards (tackle by Charlie Peprah),-0.950,1.270
4,12:37,1,10,NOR 35,24,17,Mark Ingram left guard for 2 yards (tackle by Jason Hatcher),1.270,0.990
4,12:00,2,8,NOR 37,24,17,Drew Brees pass incomplete short middle intended for Pierre Thomas (defended by Jason Hatcher),0.990,0.300
4,11:50,3,8,NOR 37,24,17,Drew Brees pass complete short middle to Marques Colston for 60 yards (tackle by Sterling Moore),0.300,0.000
4,11:14,,,,24,17,Timeout #1 by New Orleans Saints,0.000,6.510
4,11:14,1,3,DAL 3,30,17,"Drew Brees pass complete short right to David Thomas for 3 yards, touchdown",6.510,7.000
4,11:14,,,DAL 2,31,17,Garrett Hartley kicks extra point good,0.000,0.000
4,11:10,,,NOR 35,31,17,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
4,11:10,1,10,DAL 20,31,17,Tony Romo pass incomplete short middle intended for Miles Austin,0.280,-0.270
4,11:06,2,10,DAL 20,31,17,Tony Romo pass incomplete short middle intended for DeMarco Murray,-0.270,-0.960
4,10:58,3,10,DAL 20,31,17,Tony Romo pass complete deep middle to Dez Bryant for 26 yards (tackle by Rafael Bush and Isa Abdul-Quddus),-0.960,1.990
4,10:58,1,10,DAL 46,31,17,Tony Romo pass incomplete deep right intended for Miles Austin (defended by Johnny Patrick),1.990,1.450
4,10:24,2,10,DAL 46,31,17,Tony Romo pass incomplete short middle intended for Miles Austin,1.450,0.760
4,10:19,3,10,DAL 46,31,17,Tony Romo sacked by Junior Galette for -2 yards,0.760,-0.460
4,9:48,4,12,DAL 44,31,17,"Brian Moorman punts 56 yards, touchback",-0.460,-0.280
4,9:39,1,10,NOR 20,31,17,Mark Ingram left tackle for 2 yards (tackle by Dan Connor and Victor Butler),0.280,0.000
4,9:05,2,8,NOR 22,31,17,Darren Sproles left tackle for 17 yards (tackle by Morris Claiborne),0.000,1.530
4,8:19,1,10,NOR 39,31,17,Mark Ingram up the middle for 2 yards (tackle by Marcus R. Spears),1.530,1.260
4,7:45,2,8,NOR 41,31,17,Drew Brees pass complete short left to Darren Sproles for 10 yards (tackle by Victor Butler),1.260,2.320
4,6:55,1,10,DAL 49,31,17,Pierre Thomas right tackle for no gain (tackle by Brandon Carr),2.320,1.780
4,6:55,2,10,DAL 49,31,17,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",1.780,1.110
4,5:49,2,15,NOR 46,31,17,Darren Sproles up the middle for 2 yards (tackle by Tyrone Crawford),1.110,0.700
4,5:08,3,13,NOR 48,31,17,Drew Brees pass complete short left to Jimmy Graham for 4 yards (tackle by Morris Claiborne),0.700,0.000
4,4:59,,,,31,17,Timeout #1 by Dallas Cowboys,0.000,0.070
4,4:59,4,9,DAL 48,31,17,"Thomas Morstead punts 48 yards, touchback",0.070,-0.280
4,4:45,1,10,DAL 20,31,17,Tony Romo pass complete short left to Dez Bryant for 8 yards (tackle by Patrick Robinson),0.280,0.810
4,4:20,2,2,DAL 28,31,17,Tony Romo pass complete deep left to Dez Bryant for 41 yards (tackle by Patrick Robinson),0.810,3.510
4,3:49,1,10,NOR 31,31,17,Tony Romo pass complete short right to DeMarco Murray for 15 yards (tackle by Johnny Patrick),3.510,4.510
4,3:44,1,10,NOR 16,31,17,Tony Romo pass incomplete short right intended for Dwayne Harris,4.510,3.900
4,3:40,2,10,NOR 16,31,23,"Tony Romo pass complete deep left to Dwayne Harris for 16 yards, touchdown",3.900,7.000
4,3:40,,,NOR 2,31,24,Dan Bailey kicks extra point good,0.000,0.000
4,3:35,,,DAL 35,31,24,"Dan Bailey kicks off 65 yards, returned by Darren Sproles for 15 yards (tackle by Eric Frampton)",0.000,-0.220
4,3:32,1,10,NOR 15,31,24,Mark Ingram right tackle for 5 yards (tackle by Alex Albright),-0.220,0.080
4,2:46,2,5,NOR 20,31,24,Drew Brees pass complete short middle to Jimmy Graham for 6 yards (tackle by Brady Poppinga),0.080,0.670
4,2:04,1,10,NOR 26,31,24,Mark Ingram left tackle for -1 yards (tackle by Anthony Spencer and Jason Hatcher),0.670,-0.010
4,1:59,2,11,NOR 25,31,24,Darren Sproles left tackle for 1 yard (tackle by Victor Butler),-0.010,0.000
4,1:54,,,,31,24,Timeout #2 by Dallas Cowboys,0.000,-0.560
4,1:54,3,10,NOR 26,31,24,Drew Brees pass complete short right to Marques Colston for 9 yards (tackle by Mike Jenkins),-0.560,0.000
4,1:45,,,,31,24,Timeout #3 by Dallas Cowboys,0.000,0.000
4,1:45,,,,31,24,Timeout #2 by New Orleans Saints,0.000,-1.040
4,1:45,4,1,NOR 35,31,24,"Thomas Morstead punts 57 yards, returned by Dwayne Harris for 28 yards (tackle by Travaris Cadet)",-1.040,-1.330
4,1:29,1,10,DAL 36,31,24,Tony Romo pass complete short left to DeMarco Murray for 22 yards (tackle by Isa Abdul-Quddus),1.330,2.790
4,1:20,1,10,NOR 42,31,24,Tony Romo pass complete short right to Dez Bryant for 4 yards (tackle by Patrick Robinson),2.790,2.780
4,0:55,2,6,NOR 38,31,24,Tony Romo pass complete short middle to Jason Witten for 19 yards (tackle by Johnny Patrick),2.780,4.310
4,0:55,1,10,NOR 19,31,24,Tony Romo spiked the ball,4.310,3.750
4,0:32,2,10,NOR 19,31,24,Tony Romo pass incomplete short right intended for Dwayne Harris,3.750,3.030
4,0:27,3,10,NOR 19,31,24,Tony Romo pass incomplete deep middle intended for Jason Witten,3.030,2.180
4,0:21,4,10,NOR 19,31,30,"Tony Romo pass complete deep right to Miles Austin for 19 yards, touchdown",2.180,7.000
4,0:21,,,NOR 2,31,31,Dan Bailey kicks extra point good,0.000,0.000
4,0:15,,,DAL 35,31,31,"Dan Bailey kicks off 60 yards, returned by Pierre Thomas for 16 yards (tackle by Brady Poppinga)",0.000,0.340
4,0:15,1,10,NOR 21,31,31,Drew Brees kneels for -1 yards,0.340,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the overtime kickoff.",,
OT,15:00,,,NOR 35,31,31,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
OT,15:00,1,10,DAL 20,31,31,Tony Romo pass complete short right to Jason Witten for 11 yards,0.280,1.000
OT,14:43,1,10,DAL 31,31,31,DeMarco Murray up the middle for no gain (tackle by Tom Johnson),1.000,0.460
OT,14:18,2,10,DAL 31,31,31,Tony Romo pass complete short right to Jason Witten for 5 yards (tackle by Jonathan Casillas),0.460,0.430
OT,13:47,3,5,DAL 36,31,31,Tony Romo pass incomplete short left intended for Dez Bryant,0.430,-0.980
OT,13:42,4,5,DAL 36,31,31,"Brian Moorman punts 46 yards, returned by Darren Sproles for 8 yards (tackle by Alex Albright)",-0.980,-0.670
OT,13:33,1,10,NOR 26,31,31,Drew Brees pass complete deep right to Jimmy Graham for 26 yards (tackle by Brandon Carr),0.670,2.390
OT,12:48,1,10,DAL 48,31,31,Pierre Thomas up the middle for 7 yards (tackle by Victor Butler),2.390,2.790
OT,12:09,2,3,DAL 41,31,31,Drew Brees pass incomplete short middle intended for Jimmy Graham,2.790,2.080
OT,12:05,3,3,DAL 41,31,31,Drew Brees pass complete short middle to Jimmy Graham for 7 yards (tackle by Morris Claiborne),2.080,3.310
OT,11:29,1,10,DAL 34,31,31,Mark Ingram right guard for 1 yard (tackle by Anthony Spencer),3.310,2.910
OT,10:46,2,9,DAL 33,31,31,"Drew Brees pass complete short middle to Marques Colston for 9 yards (tackle by Morris Claiborne). Marques Colston fumbles (forced by Morris Claiborne), recovered by Jimmy Graham at DAL-2",2.910,6.740
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
OT,10:37,1,2,DAL 2,34,31,Garrett Hartley 20 yard field goal good,6.740,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
