Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Billy Cundiff kicks off 55 yards, returned by Adrian Peterson for 18 yards (tackle by Keith O'Neil)",0.000,1.140
1,14:55,1,10,CHI 33,0,0,Thomas Jones left guard for no gain (tackle by Dat Nguyen),1.140,0.590
1,14:20,2,10,CHI 33,0,0,Craig Krenzel pass complete to Thomas Jones for 2 yards (tackle by Alshermond Singleton),0.590,0.170
1,13:40,3,8,CHI 35,0,0,Craig Krenzel sacked by Eric Ogbogu for -6 yards,0.170,-1.440
1,13:16,4,14,CHI 29,0,0,"Brad Maynard punts 34 yards, returned by Lance Frazier for 1 yard (tackle by Joe Odom)",-1.440,-1.470
1,13:07,1,10,DAL 38,0,0,Julius Jones left tackle for 1 yard (tackle by Hunter Hillenmeyer),1.470,1.060
1,12:32,2,9,DAL 39,0,0,Julius Jones left tackle for 14 yards (tackle by Todd Johnson and Adewale Ogunleye),1.060,2.460
1,12:08,1,10,CHI 47,0,0,Drew Henson pass complete to Quincy Morgan for 12 yards (tackle by Todd Johnson),2.460,3.250
1,11:26,1,10,CHI 35,0,0,Julius Jones right guard for 2 yards (tackle by Lance Briggs),3.250,2.970
1,10:50,2,8,CHI 33,0,6,"Julius Jones up the middle for 33 yards, touchdown",2.970,7.000
1,,,,CHI 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Billy Cundiff kicks off 59 yards, returned by Jerry Azumah for 15 yards (tackle by Bradie James). Penalty on Jason McKie: Offensive Holding, 10 yards",0.000,-0.140
1,10:37,1,10,CHI 16,0,7,Thomas Jones left tackle for 2 yards (tackle by Marcellus Wiley),-0.140,-0.350
1,10:01,2,8,CHI 18,0,7,Craig Krenzel pass complete to Bobby Wade for 13 yards (tackle by Lynn Scott),-0.350,1.000
1,9:25,1,10,CHI 31,0,7,Thomas Jones right end for 1 yard (tackle by Dat Nguyen),1.000,0.600
1,8:42,2,9,CHI 32,0,7,Thomas Jones up the middle for 12 yards (tackle by Roy Williams),0.600,1.860
1,8:06,1,10,CHI 44,0,7,Craig Krenzel pass incomplete intended for Bobby Wade,1.860,1.320
1,8:00,2,10,CHI 44,0,7,Craig Krenzel pass incomplete intended for David Terrell,1.320,0.630
1,7:54,3,10,CHI 44,0,7,Craig Krenzel pass incomplete intended for Bobby Wade (defended by Dexter Coakley),0.630,-0.460
1,7:47,4,10,CHI 44,0,7,"Brad Maynard punts 43 yards, returned by Lance Frazier for 8 yards (tackle by Patrick Mannelly)",-0.460,-0.340
1,7:37,1,10,DAL 21,0,7,Julius Jones right end for 3 yards (tackle by Hunter Hillenmeyer),0.340,0.210
1,7:01,2,7,DAL 24,0,7,Julius Jones up the middle for no gain (tackle by Jerry Azumah and Hunter Hillenmeyer),0.210,-0.490
1,6:22,3,7,DAL 24,0,7,Drew Henson pass incomplete intended for Julius Jones,-0.490,-1.770
1,6:12,4,7,DAL 24,0,7,"Mat McBriar punts 41 yards, returned by R.W. McQuarters for 15 yards (tackle by Terrance Copper)",-1.770,-2.260
1,6:02,1,10,DAL 50,0,7,"Craig Krenzel for no gain. Craig Krenzel fumbles, recovered by Leonardo Carson at CHI-50",2.260,-2.260
1,5:59,1,10,CHI 50,0,7,Julius Jones left tackle for 3 yards (tackle by Lance Briggs),2.260,2.120
1,5:25,2,7,CHI 47,0,7,Drew Henson sacked by Adewale Ogunleye for -5 yards,2.120,0.760
1,4:49,3,12,DAL 48,0,7,Drew Henson pass incomplete intended for Jason Witten (defended by Alfonso Boone),0.760,-0.190
1,4:44,4,12,DAL 48,0,7,"Mat McBriar punts 52 yards, touchback",-0.190,-0.280
1,4:35,1,10,CHI 20,0,7,Thomas Jones left tackle for 1 yard (tackle by Lynn Scott),0.280,-0.130
1,3:58,2,9,CHI 21,0,7,Thomas Jones up the middle for 1 yard (tackle by Marcellus Wiley),-0.130,-0.690
1,3:16,3,8,CHI 22,0,7,Craig Krenzel pass complete to Thomas Jones for 11 yards (tackle by Nate Jones),-0.690,1.140
1,3:16,1,10,CHI 33,0,7,Bobby Wade right end for 1 yard (tackle by Bradie James),1.140,0.730
1,1:46,2,9,CHI 34,0,7,Craig Krenzel sacked by Eric Ogbogu for 0 yards,0.730,0.040
1,1:01,3,9,CHI 34,0,7,Craig Krenzel pass incomplete intended for Bernard Berrian,0.040,-1.110
1,0:58,4,9,CHI 34,0,7,"Brad Maynard punts 44 yards, returned by Lance Frazier for 22 yards (tackle by Bobby Gray)",-1.110,-1.860
1,0:45,1,10,DAL 44,0,7,Drew Henson pass complete to Keyshawn Johnson for 11 yards (tackle by Nathan Vasher),1.860,2.590
1,0:10,1,10,CHI 45,0,7,Julius Jones up the middle for 5 yards (tackle by Todd Johnson),2.590,2.720
Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CHI 40,0,7,Julius Jones left end for 11 yards (tackle by Michael Green),2.720,3.640
2,14:19,1,10,CHI 29,0,7,Julius Jones right end for -3 yards (tackle by Tommie Harris),3.640,2.700
2,13:31,2,13,CHI 32,0,7,Drew Henson pass incomplete intended for Terrance Copper,2.700,2.020
2,13:24,3,13,CHI 32,0,7,Julius Jones up the middle for -2 yards (tackle by Lance Briggs),2.020,1.060
2,13:03,4,15,CHI 34,0,7,Billy Cundiff 52 yard field goal no good,1.060,-1.730
2,12:53,1,10,CHI 42,0,7,Craig Krenzel pass complete to Anthony Thomas for 11 yards (tackle by Dexter Coakley),1.730,2.460
2,12:30,1,10,DAL 47,0,7,Anthony Thomas left tackle for no gain (tackle by Lance Frazier and Dat Nguyen),2.460,1.910
2,11:54,2,10,DAL 47,0,7,Craig Krenzel pass incomplete intended for Bernard Berrian,1.910,1.220
2,11:48,3,10,DAL 47,0,7,Craig Krenzel up the middle for 2 yards (tackle by Greg Ellis),1.220,0.270
2,11:06,4,8,DAL 45,0,7,"Brad Maynard punts 31 yards, fair catch by Lance Frazier",0.270,0.280
2,10:58,1,10,DAL 14,0,7,"Penalty on Flozell Adams: False Start, 5 yards (no play)",-0.280,-0.570
2,10:58,1,15,DAL 9,0,7,Julius Jones left tackle for 7 yards (tackle by Israel Idonije),-0.570,-0.510
2,10:27,2,8,DAL 16,0,7,Drew Henson pass incomplete intended for Quincy Morgan,-0.510,-1.160
2,10:19,3,8,DAL 16,0,7,Drew Henson pass complete to Julius Jones for -1 yards (tackle by Tommie Harris),-1.160,-2.440
