Quarter,Time,Tm,Detail,CHI,DAL
1.0,10:43,Cowboys,Julius Jones 33 yard rush (Billy Cundiff kick),0,7
2.0,5:57,Bears,R.W. McQuarters 45 yard interception return (Paul Edinger kick),7,7
4.0,11:07,Cowboys,Darian Barnes 5 yard pass from Vinny Testaverde (Billy Cundiff kick),7,14
,7:00,Cowboys,Julius Jones 4 yard rush (Billy Cundiff kick),7,21
