Unnamed: 0,CHI,DAL
First Downs,10,18
Rush-Yds-TDs,20-49-0,40-154-2
Cmp-Att-Yd-TD-INT,15-31-132-0-2,13-26-123-1-2
Sacked-Yards,6-41,2-10
Net Pass Yards,91,113
Total Yards,140,267
Fumbles-Lost,4-2,0-0
Turnovers,4,2
Penalties-Yards,7-45,5-30
Third Down Conv.,2-14,1-13
Fourth Down Conv.,0-1,0-0
Time of Possession,24:23,35:37
