Quarter,Time,Tm,Detail,IND,MIN
1,9:11,Colts,Chase McLaughlin 26 yard field goal,3,0
,8:12,Colts,JoJo Domann 24 yard blocked punt return (Chase McLaughlin kick),10,0
,3:51,Colts,Deon Jackson 1 yard pass from Matt Ryan (Chase McLaughlin kick),17,0
2,13:07,Colts,Chase McLaughlin 28 yard field goal,20,0
,10:41,Colts,Chase McLaughlin 49 yard field goal,23,0
,5:50,Colts,Julian Blackmon 17 yard interception return (Chase McLaughlin kick),30,0
,0:08,Colts,Chase McLaughlin 27 yard field goal,33,0
3,8:22,Vikings,K.J. Osborn 2 yard pass from Kirk Cousins (Greg Joseph kick),33,7
,4:53,Colts,Chase McLaughlin 52 yard field goal,36,7
,1:13,Vikings,C.J. Ham 1 yard rush (Greg Joseph kick),36,14
4,12:52,Vikings,Justin Jefferson 8 yard pass from Kirk Cousins (Greg Joseph kick),36,21
,5:30,Vikings,Adam Thielen 1 yard pass from Kirk Cousins (Greg Joseph kick),36,28
,2:15,Vikings,Dalvin Cook 64 yard pass from Kirk Cousins (T.J. Hockenson pass from Kirk Cousins),36,36
OT,0:03,Vikings,Greg Joseph 40 yard field goal,36,39
