Quarter,Time,Tm,Detail,NOR,STL
2.0,14:14,Saints,Reggie Bush 3 yard rush (John Carney kick),7,0
,9:23,Rams,Donnie Avery 29 yard pass from Marc Bulger (Josh Brown kick),7,7
,6:51,Saints,Reggie Bush 15 yard pass from Drew Brees (John Carney kick),14,7
,0:55,Rams,Steven Jackson 2 yard rush (Josh Brown kick),14,14
3.0,14:49,Saints,Courtney Roby 97 yard kickoff return (John Carney kick),21,14
,7:08,Rams,Josh Brown 32 yard field goal,21,17
4.0,12:15,Saints,Robert Meachem 27 yard pass from Drew Brees (John Carney kick),28,17
,2:44,Rams,Donnie Avery 19 yard pass from Marc Bulger (pass failed),28,23
