Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Thomas Morstead kicks off 70 yards, returned by Danny Amendola for 13 yards (tackle by Jo-Lonn Dunbar)",0.000,-0.320
1,14:54,1,10,STL 13,0,0,Marc Bulger pass incomplete short middle intended for Steven Jackson,-0.320,-0.770
1,14:48,2,10,STL 13,0,0,"Steven Jackson left guard for 1 yard. Penalty on Charles Grant: Defensive Offside, 5 yards (no play)",-0.770,-0.140
1,14:31,2,5,STL 18,0,0,Steven Jackson right tackle for 30 yards (tackle by Anthony Hargrove and Scott Fujita),-0.140,2.130
1,13:52,1,10,STL 48,0,0,Marc Bulger pass complete short left to Brandon Gibson for 8 yards (tackle by Tracy Porter),2.130,2.660
1,13:15,2,2,NOR 44,0,0,"Penalty on Adam Goldberg: False Start, 5 yards (no play)",2.660,1.990
1,13:01,2,7,NOR 49,0,0,Steven Jackson right tackle for 3 yards (tackle by Anthony Hargrove and Charles Grant),1.990,1.680
1,12:14,3,4,NOR 46,0,0,Marc Bulger pass incomplete short middle intended for Steven Jackson,1.680,0.200
1,12:05,4,4,NOR 46,0,0,Donnie Jones punts 21 yards,0.200,-0.610
1,11:57,1,10,NOR 25,0,0,Mike Bell left guard for 3 yards (tackle by Leonard Little),0.610,0.470
1,11:26,2,7,NOR 28,0,0,Reggie Bush right end for 16 yards (tackle by Paris Lenon),0.470,1.860
1,10:55,1,10,NOR 44,0,0,Pierre Thomas left guard for 3 yards (tackle by Quincy Butler),1.860,1.720
1,10:24,2,7,NOR 47,0,0,Drew Brees pass incomplete short left intended for Jeremy Shockey is intercepted by O.J. Atogwe at STL-44 and returned for 9 yards,1.720,-2.460
1,10:13,1,10,NOR 47,0,0,Steven Jackson right guard for no gain (tackle by Scott Shanle),2.460,1.910
1,9:43,2,10,NOR 47,0,0,Marc Bulger pass complete short left to Steven Jackson for 8 yards (tackle by Scott Shanle),1.910,2.280
1,9:05,3,2,NOR 39,0,0,Marc Bulger pass complete short right to Donnie Avery for 7 yards (tackle by Randall Gay),2.280,3.450
1,8:19,1,10,NOR 32,0,0,Marc Bulger pass complete short middle to Steven Jackson for 13 yards (tackle by Scott Fujita),3.450,4.310
1,7:33,1,10,NOR 19,0,0,Steven Jackson left guard for 2 yards (tackle by Roman Harper),4.310,4.030
1,6:54,2,8,NOR 17,0,0,Marc Bulger pass incomplete deep right intended for Keenan Burton is intercepted by Usama Young and returned for 24 yards,4.030,-0.410
1,6:44,1,10,NOR 22,0,0,Drew Brees pass complete short left to David Thomas for 3 yards (tackle by Quincy Butler and Chris Chamberlain),0.410,0.270
1,6:11,2,7,NOR 25,0,0,Reggie Bush left tackle for 3 yards,0.270,-0.030
1,5:37,3,4,NOR 28,0,0,Drew Brees pass complete short left to Jeremy Shockey for 8 yards (tackle by O.J. Atogwe),-0.030,1.330
1,5:17,1,10,NOR 36,0,0,Mike Bell left guard for 3 yards (tackle by James Hall),1.330,1.200
1,4:42,2,7,NOR 39,0,0,Pierre Thomas left tackle for 3 yards (tackle by James Hall),1.200,0.890
1,4:00,3,4,NOR 42,0,0,Drew Brees pass complete short left to David Thomas for 18 yards (tackle by James Laurinaitis),0.890,2.920
1,3:17,1,10,STL 40,0,0,Drew Brees pass complete short right to David Thomas for 2 yards (tackle by Justin King),2.920,2.640
1,2:28,2,8,STL 38,0,0,Reggie Bush middle for 3 yards (tackle by James Hall),2.640,2.340
1,1:44,3,5,STL 35,0,0,Drew Brees pass complete deep right to Devery Henderson for 21 yards (tackle by Justin King),2.340,4.650
1,1:10,1,10,STL 14,0,0,Pierre Thomas right tackle for 2 yards (tackle by LaJuan Ramsey),4.650,4.330
1,0:32,2,8,STL 12,0,0,Reggie Bush right guard for 3 yards (tackle by James Hall),4.330,4.050
Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,STL 9,0,0,Drew Brees pass complete short right to David Thomas for 6 yards (tackle by O.J. Atogwe),4.050,6.510
2,14:20,1,3,STL 3,6,0,"Reggie Bush middle for 3 yards, touchdown",6.510,7.000
2,,,,STL 2,7,0,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,7,0,"Thomas Morstead kicks off 75 yards, returned by Danny Amendola for 30 yards (tackle by Pierson Prioleau)",0.000,0.610
2,14:09,1,10,STL 25,7,0,Steven Jackson left tackle for 14 yards (tackle by Usama Young),0.610,1.530
2,13:33,1,10,STL 39,7,0,Steven Jackson middle for 7 yards (tackle by Tracy Porter),1.530,1.930
2,12:57,2,3,STL 46,7,0,Marc Bulger pass complete short right to Randy McMichael for 19 yards (tackle by Randall Gay and Usama Young),1.930,3.250
2,12:15,1,10,NOR 35,7,0,Steven Jackson right tackle for 8 yards (tackle by Randall Gay),3.250,3.780
2,11:39,2,2,NOR 27,7,0,Samkon Gado right guard for 3 yards (tackle by Scott Shanle),3.780,3.970
2,10:59,1,10,NOR 24,7,0,Samkon Gado left end for no gain (tackle by Will Smith),3.970,3.430
2,10:18,2,10,NOR 24,7,0,"Marc Bulger sacked by Will Smith for -2 yards. Marc Bulger fumbles (forced by Will Smith), recovered by Steven Jackson at NOR-27",3.430,2.080
2,9:31,3,15,NOR 29,7,6,"Marc Bulger pass complete deep left to Donnie Avery for 29 yards, touchdown",2.080,7.000
2,,,,NOR 2,7,7,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,7,7,"Josh Brown kicks off 65 yards, returned by Courtney Roby for 23 yards (tackle by Chris Chamberlain)",0.000,0.810
2,9:17,1,10,NOR 28,7,7,Robert Meachem left end for 41 yards (tackle by James Butler),0.810,3.510
2,8:37,1,10,STL 31,7,7,Pierre Thomas left tackle for 3 yards (tackle by James Laurinaitis),3.510,3.370
2,7:53,2,7,STL 28,7,7,Drew Brees pass complete short right to Devery Henderson for 13 yards (tackle by James Butler),3.370,4.580
2,7:07,1,10,STL 15,7,7,Drew Brees pass incomplete short right intended for David Thomas,4.580,3.950
2,7:02,2,10,STL 15,7,7,Drew Brees pass incomplete short right intended for Pierre Thomas,3.950,3.100
2,6:58,3,10,STL 15,13,7,"Drew Brees pass complete short left to Reggie Bush for 15 yards, touchdown",3.100,7.000
2,,,,STL 2,14,7,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,14,7,"Thomas Morstead kicks off 57 yards, returned by Billy Bajema for 14 yards (tackle by Malcolm Jenkins)",0.000,0.740
2,6:46,1,10,STL 27,14,7,Marc Bulger pass complete short right to Brandon Gibson for 6 yards (tackle by Randall Gay and Jonathan Vilma),0.740,1.010
2,6:08,2,4,STL 33,14,7,"Penalty on Remi Ayodele: Encroachment, 5 yards (no play)",1.010,1.470
2,5:59,1,10,STL 38,14,7,Steven Jackson left tackle for 5 yards (tackle by DeMario Pressley),1.470,1.600
2,5:24,2,5,STL 43,14,7,Marc Bulger sacked by Remi Ayodele and Charles Grant for -2 yards,1.600,0.630
2,5:14,,,,14,7,Timeout #1 by New Orleans Saints,0.000,0.630
2,5:14,3,7,STL 41,14,7,Marc Bulger pass complete short right to Brandon Gibson for 16 yards (tackle by Usama Young),0.630,2.720
2,4:37,1,10,NOR 43,14,7,Steven Jackson right guard for 2 yards (tackle by Charles Grant),2.720,2.450
2,3:51,2,8,NOR 41,14,7,Marc Bulger pass complete short left to Billy Bajema for 12 yards (tackle by Marvin Mitchell),2.450,3.640
2,3:10,1,10,NOR 29,14,7,Steven Jackson middle for 2 yards (tackle by Bobby McCray),3.640,3.370
