Unnamed: 0,NOR,STL
First Downs,19,23
Rush-Yds-TDs,29-203-1,29-141-1
Cmp-Att-Yd-TD-INT,18-26-223-2-2,26-40-298-2-1
Sacked-Yards,1-6,2-5
Net Pass Yards,217,293
Total Yards,420,434
Fumbles-Lost,1-1,1-0
Turnovers,3,1
Penalties-Yards,6-40,4-20
Third Down Conv.,6-10,5-13
Fourth Down Conv.,0-1,1-3
Time of Possession,27:58,32:02
