Unnamed: 0,OAK,BAL
First Downs,14,14
Rush-Yds-TDs,26-39-0,31-138-1
Cmp-Att-Yd-TD-INT,10-27-162-0-3,16-33-143-1-1
Sacked-Yards,6-39,2-17
Net Pass Yards,123,126
Total Yards,162,264
Fumbles-Lost,5-3,0-0
Turnovers,6,1
Penalties-Yards,6-45,10-72
Third Down Conv.,2-12,6-18
Fourth Down Conv.,1-2,0-0
Time of Possession,27:59,32:01
