Quarter,Time,Tm,Detail,OAK,BAL
1.0,10:38,Ravens,Matt Stover 25 yard field goal,0,3
,6:41,Ravens,Matt Stover 33 yard field goal,0,6
,3:45,Ravens,Matt Stover 37 yard field goal,0,9
2.0,2:59,Raiders,Sebastian Janikowski 34 yard field goal,3,9
,0:43,Ravens,Todd Heap 1 yard pass from Steve McNair (Matt Stover kick),3,16
3.0,8:53,Ravens,"Safety,",3,18
4.0,13:21,Ravens,Matt Stover 23 yard field goal,3,21
,9:55,Raiders,Sebastian Janikowski 51 yard field goal,6,21
,1:51,Ravens,Mike Anderson 34 yard rush (Matt Stover kick),6,28
