Quarter,Time,Down,ToGo,Location,OAK,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 74 yards, returned by B.J. Sams for 72 yards (tackle by Sebastian Janikowski)",0.000,3.450
1,14:45,1,10,OAK 32,0,0,Jamal Lewis right guard for 5 yards (tackle by Kirk Morrison and Stuart Schweigert),3.450,3.580
1,14:45,2,5,OAK 27,0,0,Jamal Lewis middle for 2 yards (tackle by Tyler Brayton),3.580,3.140
1,13:27,3,3,OAK 25,0,0,Steve McNair pass complete short left to Todd Heap for 6 yards (tackle by Thomas Howard),3.140,4.310
1,12:58,1,10,OAK 19,0,0,Jamal Lewis left guard for 13 yards (tackle by Stuart Schweigert),4.310,5.830
1,12:24,1,6,OAK 6,0,0,Jamal Lewis middle for 4 yards (tackle by Kirk Morrison),5.830,5.720
1,11:41,2,2,OAK 2,0,0,Musa Smith left tackle for 1 yard (tackle by Jarrod Cooper),5.720,5.170
1,10:58,3,1,OAK 1,0,0,"Musa Smith left guard for 1 yard. Penalty on Mike Flynn: Offensive Holding, 10 yards (no play)",5.170,3.120
1,10:58,3,11,OAK 11,0,0,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",3.120,2.850
1,10:58,3,16,OAK 16,0,0,Steve McNair pass complete short left to Derrick Mason for 9 yards (tackle by Stanford Routt),2.850,2.970
1,10:58,4,7,OAK 7,0,3,Matt Stover 25 yard field goal good,2.970,3.000
1,,,,BAL 30,0,3,"Matt Stover kicks off 61 yards, returned by Chris Carr for 25 yards (tackle by Daniel Wilcox)",0.000,1.200
1,10:32,1,10,OAK 34,0,3,LaMont Jordan left tackle for -1 yards (tackle by Adalius Thomas),1.200,0.520
1,9:50,2,11,OAK 33,0,3,LaMont Jordan left tackle for 4 yards (tackle by Adalius Thomas and Dawan Landry),0.520,0.370
1,9:06,3,7,OAK 37,0,3,"Aaron Brooks for no gain. Aaron Brooks fumbles, recovered by Terrell Suggs at OAK-35 (tackle by Jake Grove)",0.370,-3.250
1,9:04,1,10,OAK 35,0,3,Steve McNair pass complete short right to Derrick Mason for 15 yards (tackle by Tyrone Poole),3.250,4.240
1,8:32,1,10,OAK 20,0,3,Jamal Lewis middle for 1 yard (tackle by Grant Irons),4.240,3.820
1,7:34,,,,0,3,Timeout #1 by Baltimore Ravens,0.000,3.820
1,7:34,2,9,OAK 19,0,3,Steve McNair pass complete short right to Todd Heap for 4 yards (tackle by Michael Huff),3.820,3.700
1,6:44,3,5,OAK 15,0,3,Steve McNair pass incomplete intended for Demetrius Williams. Penalty on Tony Pashos: Illegal Formation (Declined),3.700,2.490
1,6:41,4,5,OAK 15,0,6,Matt Stover 33 yard field goal good,2.490,3.000
1,,,,BAL 30,0,6,"Sam Koch kicks off 67 yards, returned by Chris Carr for 26 yards (tackle by Gary Stills)",0.000,0.870
1,6:32,1,10,OAK 29,0,6,"Aaron Brooks for no gain. Aaron Brooks fumbles, recovered by Kelly Gregg at OAK-29 (tackle by Aaron Brooks)",0.870,-3.640
1,6:32,1,10,OAK 29,0,6,Jamal Lewis right guard for -1 yards (tackle by Grant Irons and Terdell Sands),3.640,2.970
1,5:54,2,11,OAK 30,0,6,Steve McNair pass complete short left to Todd Heap for 4 yards (tackle by Derrick Gibson),2.970,2.810
1,5:12,3,7,OAK 26,0,6,Steve McNair pass complete short left to Demetrius Williams for 9 yards (tackle by Stanford Routt),2.810,4.440
1,4:32,1,10,OAK 17,0,6,Jamal Lewis left end for -1 yards (tackle by Thomas Howard),4.440,3.720
1,3:58,2,11,OAK 18,0,6,Steve McNair pass incomplete deep left intended for Clarence Moore (defended by Tyrone Poole),3.720,3.000
1,3:58,3,11,OAK 18,0,6,Steve McNair pass incomplete short right intended for Derrick Mason. Penalty on Tony Pashos: Illegal Formation (Declined),3.000,2.250
1,3:50,4,11,OAK 18,0,9,Matt Stover 37 yard field goal good,2.250,3.000
1,,,,BAL 30,0,9,"Sam Koch kicks off 66 yards, returned by Chris Carr for 45 yards (tackle by Ronnie Prude)",0.000,2.190
1,3:37,1,10,OAK 49,0,9,LaMont Jordan right tackle for 1 yard (tackle by Bart Scott),2.190,1.780
1,3:00,2,9,OAK 50,0,9,LaMont Jordan left guard for 4 yards (tackle by Terrell Suggs and Kelly Gregg),1.780,1.620
1,2:17,3,5,BAL 46,0,9,Andrew Walter sacked by Adalius Thomas for -8 yards,1.620,-0.320
1,1:53,4,13,OAK 46,0,9,"Shane Lechler punts 54 yards, touchback",-0.320,-0.280
1,1:45,1,10,BAL 20,0,9,Steve McNair pass incomplete deep middle intended for Mark Clayton,0.280,-0.270
1,1:41,2,10,BAL 20,0,9,Jamal Lewis middle for 5 yards (tackle by Tyler Brayton and Tyrone Poole),-0.270,-0.300
1,0:58,3,5,BAL 25,0,9,Steve McNair pass incomplete short middle intended for Daniel Wilcox (defended by Tyrone Poole),-0.300,-1.700
1,0:42,4,5,BAL 25,0,9,"Sam Koch punts 52 yards, returned by Chris Carr for 8 yards (tackle by Corey Ivy)",-1.700,-1.000
