Unnamed: 0,NOR,MIN
First Downs,17,27
Rush-Yds-TDs,29-106-1,22-85-1
Cmp-Att-Yd-TD-INT,19-24-164-1-1,31-41-359-2-1
Sacked-Yards,0-0,4-21
Net Pass Yards,164,338
Total Yards,270,423
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-64,6-54
Third Down Conv.,4-9,5-10
Fourth Down Conv.,0-0,2-3
Time of Possession,28:37,31:23
