Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,NOR,13,63,0,3,30,2.3,33,2.5,1,13.0
Alvin Kamara,NOR,13,45,1,3,30,2.3,15,1.2,0,
Taysom Hill,NOR,3,-2,0,0,-6,-2.0,4,1.3,1,3.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Latavius Murray,MIN,13,56,1,3,23,1.8,33,2.5,2,6.5
Mike Boone,MIN,3,11,0,,5,1.7,6,2.0,0,
Kirk Cousins,MIN,2,3,0,0,1,0.5,2,1.0,0,
C.J. Ham,MIN,2,1,0,,1,0.5,0,0.0,0,
Adam Thielen,MIN,1,15,0,1,2,2.0,13,13.0,0,
Roc Thomas,MIN,1,-1,0,,-1,-1.0,0,0.0,0,
