Unnamed: 0,BUF,DAL
First Downs,15,14
Rush-Yds-TDs,25-100-0,35-122-0
Cmp-Att-Yd-TD-INT,17-34-104-0-0,15-33-116-1-0
Sacked-Yards,3-19,1-2
Net Pass Yards,85,114
Total Yards,185,236
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,1-15,5-53
Third Down Conv.,3-16,7-18
Fourth Down Conv.,0-0,0-1
Time of Possession,27:12,32:48
