Quarter,Time,Tm,Detail,BUF,DAL
1.0,0:19,Cowboys,Dan Campbell 2 yard pass from Quincy Carter (Billy Cundiff kick),0,7
2.0,10:47,Bills,Rian Lindell 41 yard field goal,3,7
,0:29,Bills,Rian Lindell 29 yard field goal,6,7
3.0,13:05,Cowboys,Billy Cundiff 51 yard field goal,6,10
