Unnamed: 0,CIN,CHI
First Downs,11,16
Rush-Yds-TDs,34-83-0,28-106-1
Cmp-Att-Yd-TD-INT,16-23-169-3-0,17-39-149-0-5
Sacked-Yards,1-8,0-0
Net Pass Yards,161,149
Total Yards,244,255
Fumbles-Lost,2-1,4-1
Turnovers,1,6
Penalties-Yards,9-77,7-88
Third Down Conv.,2-14,3-15
Fourth Down Conv.,0-0,2-3
Time of Possession,31:08,28:52
