Quarter,Time,Tm,Detail,CIN,CHI
1.0,13:46,Bengals,Chad Johnson 18 yard pass from Carson Palmer (Shayne Graham kick),7,0
,5:31,Bengals,Shayne Graham 33 yard field goal,10,0
3.0,7:03,Bengals,Chris Henry 36 yard pass from Carson Palmer (Shayne Graham kick),17,0
4.0,13:30,Bears,Thomas Jones 2 yard rush (Doug Brien kick),17,7
,11:56,Bengals,Chad Johnson 40 yard pass from Carson Palmer (Shayne Graham kick),24,7
