Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Doug Brien kicks off 60 yards, returned by Tab Perry for 20 yards (tackle by Brendon Ayanbadejo)",0.000,0.940
1,14:54,1,10,CIN 30,0,0,Carson Palmer pass incomplete intended for Chad Johnson,0.940,0.390
1,14:51,2,10,CIN 30,0,0,Rudi Johnson right tackle for 7 yards (tackle by Chris Harris),0.390,0.630
1,14:17,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,0.630
1,14:17,3,3,CIN 37,0,0,Carson Palmer pass incomplete intended for Chris Perry,0.630,-0.910
1,14:12,4,3,CIN 37,0,0,Kyle Larson punts 29 yards,-0.910,-1.200
1,14:05,1,10,CHI 34,0,0,"Kyle Orton pass incomplete intended for Justin Gage is intercepted by Brian Simmons at CHI-40 and returned for -1 yards. Brian Simmons fumbles (forced by Justin Gage), recovered by Odell Thurman at CHI-41 and returned for 23 yards",1.200,-4.370
,,,,,,,"CHI challenged the ruling, and the play was upheld.",,
1,13:51,1,10,CHI 18,6,0,"Carson Palmer pass complete to Chad Johnson for 18 yards, touchdown",4.370,7.000
1,,,,CHI 2,7,0,"Shayne Graham kicks extra point good. Penalty on Charles Tillman: Defensive Offside, 5 yards",0.000,0.000
1,,,,CIN 35,7,0,"Shayne Graham kicks off 66 yards, returned by Jerry Azumah for 18 yards (tackle by Reggie Myles)",0.000,-0.060
1,13:41,1,10,CHI 17,7,0,Thomas Jones left end for -1 yards (tackle by John Thornton),-0.060,-0.730
1,13:08,2,11,CHI 16,7,0,Thomas Jones right tackle for 5 yards (tackle by Landon Johnson),-0.730,-0.750
1,12:31,3,6,CHI 21,7,0,Kyle Orton pass complete to Thomas Jones for 4 yards (tackle by Madieu Williams),-0.750,-1.700
1,11:56,4,2,CHI 25,7,0,"Brad Maynard punts 41 yards, returned by Keiwan Ratliff for no gain",-1.700,-1.200
1,11:45,1,10,CIN 34,7,0,Carson Palmer pass complete to Rudi Johnson for -1 yards (tackle by Lance Briggs),1.200,0.520
1,11:10,2,11,CIN 33,7,0,Rudi Johnson left tackle for no gain (tackle by Chris Harris),0.520,-0.160
1,10:32,3,11,CIN 33,7,0,Carson Palmer pass complete to Matt Schobel for 4 yards (tackle by Jerry Azumah),-0.160,-0.910
1,10:09,4,7,CIN 37,7,0,"Kyle Larson punts 55 yards, returned by Bobby Wade for 33 yards (tackle by Tab Perry). Bobby Wade fumbles, recovered by Brendon Ayanbadejo at CHI-45. Penalty on Adrian Peterson: Illegal Block Above the (Declined), Penalty on Justin Gage: Illegal Block Above the , 8 yards",-0.910,0.380
1,9:52,1,10,CHI 8,7,0,Thomas Jones right guard for 5 yards (tackle by Robert Geathers),-0.380,-0.410
1,9:22,2,5,CHI 13,7,0,Kyle Orton pass complete to Muhsin Muhammad for 23 yards (tackle by Kevin Kaesviharn),-0.410,1.330
1,8:42,1,10,CHI 36,7,0,Kyle Orton pass incomplete intended for Mark Bradley,1.330,0.790
1,8:37,2,10,CHI 36,7,0,"Kyle Orton for no gain. Kyle Orton fumbles, recovered by Kyle Orton at CHI-36",0.790,-0.030
1,8:03,3,11,CHI 35,7,0,Kyle Orton pass incomplete intended for Bobby Wade is intercepted by Keiwan Ratliff at CHI-37 and returned for 1 yard,-0.030,-3.180
1,7:58,1,10,CHI 36,7,0,Rudi Johnson left tackle for -2 yards (tackle by Ian Scott),3.180,2.370
1,7:18,2,12,CHI 38,7,0,"Carson Palmer pass incomplete intended for T.J. Houshmandzadeh. Penalty on Charles Tillman: Defensive Pass Interfere, 35 yards (no play)",2.370,6.510
1,7:11,1,3,CHI 3,7,0,Rudi Johnson right tackle for 1 yard (tackle by Mike Brown),6.510,5.720
1,6:30,2,2,CHI 2,7,0,Rudi Johnson left end for -3 yards (tackle by Ian Scott and Hunter Hillenmeyer),5.720,4.260
1,5:45,3,5,CHI 5,7,0,"Carson Palmer pass complete to T.J. Houshmandzadeh for 5 yards. Penalty on Chad Johnson: Offensive Pass Interfere, 10 yards (no play)",4.260,2.930
1,5:41,3,15,CHI 15,7,0,Carson Palmer pass incomplete intended for Matt Schobel (defended by Mike Brown),2.930,2.440
1,5:36,4,15,CHI 15,10,0,Shayne Graham 33 yard field goal good. Penalty on Charles Tillman: Defensive Offside (Declined),2.440,3.000
1,,,,CIN 30,10,0,"Shayne Graham kicks off 64 yards, returned by Jerry Azumah for 16 yards (tackle by Ifeanyi Ohalete)",0.000,0.410
1,5:28,1,10,CHI 22,10,0,Thomas Jones left end for 9 yards (tackle by Kevin Kaesviharn),0.410,1.080
1,5:03,2,1,CHI 31,10,0,Thomas Jones left guard for 6 yards (tackle by Kevin Kaesviharn),1.080,1.400
1,4:30,1,10,CHI 37,10,0,Thomas Jones left end for -2 yards (tackle by Landon Johnson and Odell Thurman),1.400,0.590
1,3:55,2,12,CHI 35,10,0,Kyle Orton pass complete to Thomas Jones for no gain,0.590,-0.100
1,3:14,3,12,CHI 35,10,0,Kyle Orton pass incomplete intended for Mark Bradley. Penalty on Terrence Metcalf: Offensive Holding (Declined),-0.100,-1.040
1,3:06,4,12,CHI 35,10,0,Brad Maynard punts 44 yards,-1.040,-0.340
1,2:56,1,10,CIN 21,10,0,Jeremi Johnson right guard for 1 yard (tackle by Lance Briggs and Adewale Ogunleye),0.340,-0.070
1,2:19,2,9,CIN 22,10,0,Rudi Johnson right tackle for 8 yards (tackle by Mike Brown and Hunter Hillenmeyer),-0.070,0.300
1,1:39,3,1,CIN 30,10,0,Rudi Johnson right guard for 2 yards (tackle by Mike Brown),0.300,1.070
1,1:06,1,10,CIN 32,10,0,"Penalty on Eric Steinbach: False Start, 6 yards (no play)",1.070,0.670
1,0:48,1,16,CIN 26,10,0,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh (defended by Adewale Ogunleye),0.670,-0.280
1,0:43,2,16,CIN 26,10,0,Carson Palmer pass complete to Rudi Johnson for -1 yards (tackle by Chris Harris),-0.280,-1.090
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,CIN 25,10,0,Carson Palmer pass complete to Chris Henry for 5 yards (tackle by Nathan Vasher). Penalty on Willie Anderson: Offensive Holding (Declined),-1.090,-1.370
2,14:42,4,12,CIN 30,10,0,Kyle Larson punts 38 yards,-1.370,-1.070
2,14:35,1,10,CHI 32,10,0,Thomas Jones left tackle for 1 yard (tackle by John Thornton),1.070,0.660
