#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:05,CHI 34,1,0:14,0,Interception
2,1,13:46,CHI 17,3,2:01,8,Punt
3,1,9:52,CHI 8,5,1:54,27,Interception
4,1,5:31,CHI 22,5,2:35,13,Punt
5,2,14:35,CHI 32,3,1:32,5,Interception
6,2,11:09,CHI 13,3,1:15,9,Punt
7,2,5:52,CHI 13,1,0:10,0,Interception
8,2,3:53,CHI 47,6,2:46,32,Missed FG
9,3,15:00,CHI 24,3,1:27,7,Punt
10,3,12:05,CHI 32,4,2:04,29,Interception
11,3,7:03,CHI 20,3,1:01,3,Punt
12,3,4:01,CHI 30,14,5:31,70,Touchdown
13,4,11:56,CHI 37,7,2:59,34,Fumble
14,4,7:19,CHI 20,6,2:24,16,Punt
15,4,3:16,CHI 22,4,0:59,7,Downs
