Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NOR 25,0,0,Alvin Kamara left tackle for 2 yards (tackle by Geno Atkins),0.610,0.330
1,14:29,2,8,NOR 27,0,0,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Dre Kirkpatrick),0.330,0.430
1,13:54,3,2,NOR 33,0,0,Drew Brees pass complete short right to Dan Arnold for 2 yards (tackle by Dre Kirkpatrick),0.430,1.270
1,13:22,1,10,NOR 35,0,0,Mark Ingram right end for 5 yards (tackle by Dre Kirkpatrick and Geno Atkins),1.270,1.400
1,12:48,2,5,NOR 40,0,0,Alvin Kamara right guard for 6 yards (tackle by Preston Brown),1.400,1.990
1,12:15,1,10,NOR 46,0,0,Mark Ingram right guard for 2 yards (tackle by Clayton Fejedelem),1.990,1.720
1,11:41,2,8,NOR 48,0,0,Drew Brees pass complete short right to Michael Thomas for 15 yards (tackle by Clayton Fejedelem),1.720,3.120
1,11:03,1,10,CIN 37,0,0,Drew Brees pass complete short left to Austin Carr for 8 yards (tackle by Preston Brown and Jordan Evans),3.120,3.650
1,10:26,2,2,CIN 29,0,0,Mark Ingram right tackle for 1 yard (tackle by Josh Tupou),3.650,3.070
1,9:47,3,1,CIN 28,0,0,Drew Brees up the middle for 2 yards (tackle by Josh Tupou),3.070,3.840
1,9:04,1,10,CIN 26,0,0,Drew Brees pass incomplete short right intended for Alvin Kamara,3.840,3.300
1,8:56,2,10,CIN 26,0,0,Taysom Hill left end for 7 yards (tackle by Shawn Williams),3.300,3.570
1,8:13,3,3,CIN 19,0,0,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by William Jackson),3.570,4.910
1,7:36,1,10,CIN 10,0,0,Taysom Hill right end for 8 yards (tackle by Jordan Evans),4.910,5.720
1,6:59,2,2,CIN 2,0,0,"Penalty on Josh Hill: False Start, 5 yards (no play)",5.720,4.760
1,6:34,2,7,CIN 7,6,0,"Drew Brees pass complete short left to Michael Thomas for 7 yards, touchdown",4.760,7.000
1,6:30,,,CIN 15,7,0,Wil Lutz kicks extra point good,0.000,0.000
1,6:30,,,NOR 35,7,0,"Wil Lutz kicks off 57 yards, returned by Alex Erickson for no gain (tackle by Craig Robertson)",0.000,0.610
1,6:24,1,10,CIN 25,7,0,Joe Mixon up the middle for 3 yards (tackle by Tyeler Davison and A.J. Klein),0.610,0.470
1,5:50,2,7,CIN 28,7,0,Andy Dalton pass complete short right to Tyler Boyd for 23 yards (tackle by P.J. Williams),0.470,2.320
1,5:24,1,10,NOR 49,7,0,Joe Mixon left end for 7 yards (tackle by Vonn Bell),2.320,2.730
1,4:46,2,3,NOR 42,7,0,Andy Dalton pass complete short right to Joe Mixon for 7 yards (tackle by Vonn Bell),2.730,3.250
1,4:00,1,10,NOR 35,7,0,Joe Mixon left tackle for 14 yards (tackle by Marcus Williams),3.250,4.170
1,3:17,1,10,NOR 21,7,0,Jeff Driskel right end for 8 yards (tackle by Demario Davis),4.170,4.950
1,2:39,2,2,NOR 13,7,0,Joe Mixon right guard for 11 yards (tackle by Marcus Williams),4.950,6.740
1,2:00,1,2,NOR 2,7,6,"Andy Dalton pass complete short left to John Ross for 2 yards, touchdown",6.740,7.000
1,1:56,,,NOR 15,7,7,Randy Bullock kicks extra point good,0.000,0.000
1,1:56,,,CIN 35,7,7,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,1:56,1,10,NOR 25,7,7,Mark Ingram right tackle for 5 yards (tackle by Dre Kirkpatrick),0.610,0.740
1,1:16,2,5,NOR 30,7,7,Drew Brees pass complete short right to Mark Ingram for 27 yards (tackle by Shawn Williams),0.740,2.720
1,0:38,1,10,CIN 43,7,7,Alvin Kamara right tackle for 1 yard (tackle by Jordan Evans),2.720,2.310
Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CIN 42,7,7,Drew Brees pass complete short right to Alvin Kamara for 9 yards (tackle by Preston Brown),2.310,3.380
2,14:22,,,,,,Timeout #1 by New Orleans Saints,,
2,14:22,1,10,CIN 33,7,7,Alvin Kamara left guard for 5 yards (tackle by Carlos Dunlap),3.380,3.510
2,13:43,2,5,CIN 28,13,7,"Drew Brees pass complete short left to Mark Ingram for 28 yards, touchdown",3.510,7.000
2,13:33,,,CIN 15,14,7,Wil Lutz kicks extra point good,0.000,0.000
2,13:33,,,NOR 35,14,7,"Wil Lutz kicks off 63 yards, returned by Alex Erickson for no gain (tackle by Wil Lutz)",0.000,1.200
2,13:25,1,10,CIN 34,14,7,Andy Dalton pass complete short left to Joe Mixon for 17 yards (tackle by Marcus Williams),1.200,2.320
2,12:51,1,10,NOR 49,14,7,Joe Mixon right tackle for -1 yards (tackle by David Onyemata and Demario Davis),2.320,1.650
2,12:09,2,11,CIN 50,14,7,Andy Dalton up the middle for 8 yards (tackle by Demario Davis),1.650,2.020
2,11:28,3,3,NOR 42,14,7,Giovani Bernard up the middle for 2 yards (tackle by Alex Anzalone),2.020,0.590
2,11:28,4,1,NOR 40,14,7,"Penalty on Matt Lengel: False Start, 5 yards (no play)",0.590,0.270
2,10:33,4,6,NOR 45,14,7,"Kevin Huber punts 35 yards, fair catch by Alvin Kamara at NO-10",0.270,0.380
2,10:28,1,10,NOR 10,14,7,Alvin Kamara right end for 14 yards (tackle by Jessie Bates),-0.380,0.540
2,9:55,1,10,NOR 24,14,7,"Drew Brees pass incomplete short right intended for Michael Thomas. Penalty on Dre Kirkpatrick: Defensive Pass Interference, 11 yards (no play)",0.540,1.270
2,9:51,1,10,NOR 35,14,7,Mark Ingram up the middle for 18 yards (tackle by Jessie Bates and William Jackson),1.270,2.460
2,9:17,1,10,CIN 47,14,7,Drew Brees pass complete short left to Austin Carr for 12 yards (tackle by Shawn Williams),2.460,3.250
2,8:32,1,10,CIN 35,14,7,Drew Brees pass complete short right to Alvin Kamara for 13 yards (tackle by Clayton Fejedelem),3.250,4.110
2,7:55,1,10,CIN 22,14,7,Drew Brees pass complete short middle to Mark Ingram for 3 yards (tackle by Preston Brown),4.110,3.970
2,7:10,2,7,CIN 19,14,7,Drew Brees pass complete short right to Alvin Kamara for 5 yards (tackle by Jessie Bates),3.970,4.150
2,6:41,3,2,CIN 14,14,7,Taysom Hill left end for 2 yards (tackle by Jessie Bates and Shawn Williams),4.150,4.780
2,6:02,1,10,CIN 12,14,7,Drew Brees pass complete short middle to Michael Thomas for 8 yards (tackle by Jessie Bates),4.780,5.600
2,5:36,2,2,CIN 4,20,7,"Alvin Kamara left guard for 4 yards, touchdown",5.600,7.000
2,5:34,,,CIN 15,21,7,Wil Lutz kicks extra point good,0.000,0.000
2,5:34,,,NOR 35,21,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,5:34,1,10,CIN 25,21,7,Andy Dalton pass incomplete short right intended for Tyler Boyd,0.610,0.060
2,5:31,2,10,CIN 25,21,7,Giovani Bernard right tackle for 4 yards (tackle by Alex Okafor),0.060,-0.100
2,4:50,3,6,CIN 29,21,7,Andy Dalton sacked by Alex Okafor for -6 yards,-0.100,-1.830
2,4:15,4,12,CIN 23,21,7,"Kevin Huber punts 39 yards, returned by Alvin Kamara for 2 yards (tackle by Jordan Evans)",-1.830,-1.600
2,4:02,1,10,NOR 40,21,7,Mark Ingram up the middle for 6 yards (tackle by Jessie Bates and Adolphus Washington),1.600,1.860
2,3:18,2,4,NOR 46,21,7,Drew Brees pass complete short left to Keith Kirkwood for 3 yards (tackle by Darius Phillips),1.860,1.550
2,3:02,3,1,NOR 49,21,7,Zach Line up the middle for 4 yards (tackle by Preston Brown),1.550,2.460
2,2:21,1,10,CIN 47,21,7,Mark Ingram right guard for 4 yards (tackle by Adolphus Washington),2.460,2.450
2,2:00,2,6,CIN 43,21,7,Drew Brees pass incomplete short middle intended for Taysom Hill,2.450,1.750
2,1:55,3,6,CIN 43,21,7,Drew Brees pass complete short middle to Alvin Kamara for 19 yards (tackle by Dre Kirkpatrick and Brandon Wilson),1.750,3.970
2,1:36,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:36,1,10,CIN 24,21,7,Drew Brees pass complete deep right to Dan Arnold for 23 yards (tackle by Shawn Williams),3.970,6.970
2,1:30,1,1,CIN 1,21,7,Taysom Hill pass incomplete short middle intended for Ben Watson,6.970,5.910
2,1:27,2,1,CIN 1,27,7,"Alvin Kamara left end for 1 yard, touchdown",5.910,7.000
2,1:22,,,CIN 15,28,7,Wil Lutz kicks extra point good,0.000,0.000
2,1:22,,,NOR 35,28,7,"Wil Lutz kicks off 59 yards, returned by Alex Erickson for no gain (tackle by Josh Robinson and Kurt Coleman)",0.000,0.480
2,1:15,1,10,CIN 23,28,7,Andy Dalton pass complete short left to Tyler Boyd for 6 yards (tackle by Alex Anzalone),0.480,0.740
2,0:55,2,4,CIN 29,28,7,Andy Dalton pass complete short right to Cody Core for 11 yards (tackle by Eli Apple),0.740,1.600
2,0:48,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:48,1,10,CIN 40,28,7,Andy Dalton pass complete short middle to Giovani Bernard for 26 yards (tackle by Alex Anzalone and Marcus Williams),1.600,3.310
2,0:25,1,10,NOR 34,28,7,Andy Dalton spiked the ball,3.310,2.770
2,0:24,2,10,NOR 34,28,7,Andy Dalton pass deep right intended for John Ross is intercepted by Marcus Williams at NO-5 and returned for 78 yards,2.770,-4.440
2,0:08,1,10,CIN 17,34,7,"Drew Brees pass complete short middle to Michael Thomas for 17 yards, touchdown, touchdown",4.440,7.000
2,0:02,,,CIN 15,35,7,Wil Lutz kicks extra point good,0.000,0.000
2,0:02,,,NOR 35,35,7,"Wil Lutz kicks off 36 yards, returned by Brandon Wilson for no gain (tackle by Keith Kirkwood)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,35,7,"Wil Lutz kicks off 60 yards, returned by Alex Erickson for no gain (tackle by Dwayne Washington)",0.000,0.740
3,14:55,1,10,CIN 27,35,7,Joe Mixon left tackle for 1 yard (tackle by Sheldon Rankins),0.740,0.330
3,14:19,2,9,CIN 28,35,7,Andy Dalton sacked by Cameron Jordan for -2 yards,0.330,-0.620
3,13:34,3,11,CIN 26,35,7,Andy Dalton pass complete short left to Giovani Bernard for 4 yards (tackle by Marshon Lattimore and Demario Davis). Penalty on Tyler Boyd: Offensive Pass Interference (Declined),-0.620,-1.370
3,13:20,4,7,CIN 30,35,7,"Kevin Huber punts 42 yards, fair catch by Alvin Kamara at NO-28",-1.370,-0.810
3,13:12,1,10,NOR 28,35,7,Alvin Kamara right end for 2 yards (tackle by Jordan Evans),0.810,0.530
3,12:41,2,8,NOR 30,35,7,Mark Ingram right guard for 7 yards (tackle by Jordan Evans),0.530,0.760
3,12:02,3,1,NOR 37,35,7,Mark Ingram right guard for 1 yard (tackle by Carlos Dunlap and Geno Atkins),0.760,1.470
3,11:17,1,10,NOR 38,35,7,Drew Brees pass complete deep right to Keith Kirkwood for 42 yards (tackle by Shawn Williams),1.470,4.240
3,10:31,1,10,CIN 20,35,7,Drew Brees pass complete short left to Michael Thomas for 8 yards (tackle by William Jackson),4.240,5.040
3,9:47,2,2,CIN 12,35,7,Alvin Kamara right tackle for 1 yard (tackle by Vincent Rey and Josh Tupou),5.040,4.590
3,9:13,3,1,CIN 11,35,7,Drew Brees pass incomplete short right intended for Zach Line,4.590,2.850
3,9:08,4,1,CIN 11,38,7,Wil Lutz 29 yard field goal good,2.850,3.000
3,9:04,,,NOR 35,38,7,"Wil Lutz kicks off 63 yards, returned by Alex Erickson for no gain (tackle by Taysom Hill)",0.000,0.540
3,8:58,1,10,CIN 24,38,7,Andy Dalton pass complete short right to C.J. Uzomah for 5 yards,0.540,0.670
3,8:32,2,5,CIN 29,38,7,Andy Dalton pass complete short left to Tyler Boyd for 36 yards (tackle by Eli Apple),0.670,3.250
3,8:03,1,10,NOR 35,38,7,Andy Dalton pass incomplete deep middle intended for John Ross (defended by Eli Apple),3.250,2.700
3,7:56,2,10,NOR 35,38,7,Joe Mixon up the middle for 6 yards (tackle by Demario Davis),2.700,2.810
3,7:12,3,4,NOR 29,38,7,Andy Dalton sacked by Alex Anzalone for -9 yards,2.810,0.720
3,6:26,4,13,NOR 38,38,7,Andy Dalton pass incomplete deep left intended for John Ross,0.720,-1.470
3,6:21,1,10,NOR 38,38,7,Mark Ingram right guard for 33 yards (tackle by Jordan Evans),1.470,3.640
3,5:36,1,10,CIN 29,38,7,Alvin Kamara right tackle for 7 yards (tackle by Vincent Rey and Jessie Bates),3.640,4.050
3,4:54,2,3,CIN 22,38,7,Taysom Hill right end for 7 yards (tackle by Jessie Bates and Jordan Evans),4.050,4.580
3,4:11,1,10,CIN 15,38,7,Alvin Kamara right tackle for 13 yards (tackle by KeiVarae Russell and Shawn Williams),4.580,6.740
3,3:42,1,2,CIN 2,38,7,Alvin Kamara left guard for no gain (tackle by Geno Atkins),6.740,5.720
3,3:16,2,2,CIN 2,38,7,Drew Brees pass complete short right to Ben Watson for 1 yard (tackle by Shawn Williams),5.720,5.170
3,3:08,3,1,CIN 1,38,7,Mark Ingram right guard for no gain (tackle by Jordan Evans and Jessie Bates),5.170,3.550
3,2:27,4,1,CIN 1,44,7,"Drew Brees up the middle for 1 yard, touchdown",3.550,7.000
3,2:25,,,CIN 15,45,7,Wil Lutz kicks extra point good,0.000,0.000
3,2:25,,,NOR 35,45,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,2:25,1,10,CIN 25,45,7,Andy Dalton pass incomplete short right intended for C.J. Uzomah,0.610,0.060
3,2:20,2,10,CIN 25,45,7,Andy Dalton sacked by Sheldon Rankins for -7 yards,0.060,-1.720
3,1:45,3,17,CIN 18,45,7,Andy Dalton pass incomplete short right intended for Giovani Bernard,-1.720,-2.240
3,1:40,4,17,CIN 18,45,7,"Kevin Huber punts 41 yards, fair catch by Austin Carr at NO-41",-2.240,-1.660
3,1:33,1,10,NOR 41,45,7,Mark Ingram right tackle for 14 yards (tackle by Shawn Williams and Preston Brown),1.660,2.590
3,0:45,1,10,CIN 45,45,7,Mark Ingram right guard for 8 yards (tackle by Darius Phillips),2.590,3.120
Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,CIN 37,45,7,Dwayne Washington up the middle for 3 yards (tackle by Michael Johnson),3.120,3.310
4,14:15,1,10,CIN 34,45,7,Dwayne Washington right tackle for 4 yards (tackle by Preston Brown and Jessie Bates),3.310,3.310
4,13:32,2,6,CIN 30,45,7,Dwayne Washington right tackle for 6 yards (tackle by KeiVarae Russell and Preston Brown),3.310,3.970
4,12:48,1,10,CIN 24,45,7,Dwayne Washington left tackle for 1 yard (tackle by Josh Tupou),3.970,3.570
4,12:09,2,9,CIN 23,45,7,Dwayne Washington right guard for -1 yards (tackle by Andrew Billings),3.570,2.740
4,11:25,3,10,CIN 24,45,7,Drew Brees pass complete short right to Michael Thomas for no gain (tackle by William Jackson),2.740,1.870
4,11:25,4,10,CIN 24,48,7,Wil Lutz 42 yard field goal good,1.870,3.000
4,10:41,,,NOR 35,48,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,10:41,1,10,CIN 25,48,7,Joe Mixon up the middle for 7 yards (tackle by Alex Anzalone),0.610,1.010
4,10:16,2,3,CIN 32,48,7,Andy Dalton pass complete short right to C.J. Uzomah for 10 yards (tackle by Eli Apple),1.010,1.730
4,9:55,1,10,CIN 42,48,7,Andy Dalton pass complete short left to Cody Core for 6 yards (tackle by Ken Crawley),1.730,2.000
4,9:27,2,4,CIN 48,48,7,Joe Mixon right guard for 5 yards (tackle by Josh Robinson),2.000,2.460
4,9:00,1,10,NOR 47,48,7,Andy Dalton pass short right (defended by Chris Banjo) intended for John Ross is intercepted by Eli Apple at NO-44 and returned for 29 yards,2.460,-3.780
4,8:52,1,10,CIN 27,48,7,Dwayne Washington right guard for 4 yards (tackle by Preston Brown),3.780,3.770
4,8:12,2,6,CIN 23,48,7,Dwayne Washington right guard for no gain (tackle by Jordan Willis and Shawn Williams),3.770,3.070
4,7:25,3,6,CIN 23,48,7,Teddy Bridgewater pass incomplete short middle intended for Dan Arnold (defended by Preston Brown),3.070,1.950
4,7:22,4,6,CIN 23,51,7,Wil Lutz 41 yard field goal good,1.950,3.000
4,7:17,,,NOR 35,51,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,7:17,1,10,CIN 25,51,7,Joe Mixon left tackle for 2 yards (tackle by Alex Okafor),0.610,0.330
4,6:49,2,8,CIN 27,51,7,Jeff Driskel pass complete deep right to John Ross for 37 yards (tackle by Justin Hardee),0.330,3.180
4,6:17,1,10,NOR 36,51,7,Jeff Driskel pass incomplete short left intended for Auden Tate (defended by Ken Crawley),3.180,2.640
4,6:13,2,10,NOR 36,51,7,Joe Mixon right guard for 6 yards (tackle by Trey Hendrickson and David Onyemata),2.640,2.740
4,5:32,3,4,NOR 30,51,7,"Penalty on Billy Price: False Start, 5 yards (no play)",2.740,2.080
4,5:13,3,9,NOR 35,51,7,Jeff Driskel pass complete short left to C.J. Uzomah for 8 yards (tackle by Craig Robertson),2.080,1.820
4,4:48,4,1,NOR 27,51,13,"Jeff Driskel left end for 27 yards, touchdown",1.820,7.000
4,4:42,,,NOR 15,51,14,Randy Bullock kicks extra point good,0.000,0.000
4,4:42,,,CIN 35,51,14,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
4,4:42,1,10,NOR 25,51,14,Dwayne Washington right tackle for 6 yards (tackle by Sam Hubbard and Malik Jefferson),0.610,0.870
4,4:01,2,4,NOR 31,51,14,Dwayne Washington left tackle for no gain (tackle by Andrew Billings and Sam Hubbard),0.870,0.170
4,3:26,,,,,,Timeout #1 by Cincinnati Bengals,,
4,3:26,3,4,NOR 31,51,14,"Penalty on Andrew Billings: Neutral Zone Infraction, 5 yards (no play)",0.170,1.330
4,3:26,1,10,NOR 36,51,14,Dwayne Washington left end for 20 yards (tackle by Jessie Bates),1.330,2.650
4,3:20,1,10,CIN 44,51,14,Dwayne Washington right tackle for 4 yards (tackle by Josh Tupou and Malik Jefferson),2.650,2.650
4,2:38,2,6,CIN 40,51,14,Zach Line right guard for 9 yards (tackle by Malik Jefferson),2.650,3.510
4,2:00,1,10,CIN 31,51,14,Teddy Bridgewater kneels for -1 yards,3.510,2.830
4,1:19,2,11,CIN 32,51,14,Teddy Bridgewater kneels for -1 yards,2.830,2.020
4,0:39,3,12,CIN 33,51,14,Teddy Bridgewater kneels for -1 yards,2.020,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
