Unnamed: 0,NOR,CIN
First Downs,33,13
Rush-Yds-TDs,47-244-3,16-110-1
Cmp-Att-Yd-TD-INT,22-27-265-3-0,14-23-198-1-2
Sacked-Yards,0-0,4-24
Net Pass Yards,265,174
Total Yards,509,284
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,1-5,4-26
Third Down Conv.,7-12,0-6
Fourth Down Conv.,1-1,1-2
Time of Possession,39:46,20:14
