Quarter,Time,Tm,Detail,NOR,CIN
1.0,6:30,Saints,Michael Thomas 7 yard pass from Drew Brees (Wil Lutz kick),7,0
,1:56,Bengals,John Ross 2 yard pass from Andy Dalton (Randy Bullock kick),7,7
2.0,13:33,Saints,Mark Ingram 28 yard pass from Drew Brees (Wil Lutz kick),14,7
,5:34,Saints,Alvin Kamara 4 yard rush (Wil Lutz kick),21,7
,1:22,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),28,7
,0:02,Saints,Michael Thomas 17 yard pass from Drew Brees (Wil Lutz kick),35,7
3.0,9:04,Saints,Wil Lutz 29 yard field goal,38,7
,2:25,Saints,Drew Brees 1 yard rush (Wil Lutz kick),45,7
4.0,10:41,Saints,Wil Lutz 42 yard field goal,48,7
,7:17,Saints,Wil Lutz 41 yard field goal,51,7
,4:42,Bengals,Jeff Driskel 27 yard rush (Randy Bullock kick),51,14
