Unnamed: 0,PIT,IND
First Downs,19,14
Rush-Yds-TDs,28-67-0,21-97-1
Cmp-Att-Yd-TD-INT,25-37-364-1-1,18-40-153-0-0
Sacked-Yards,3-23,1-9
Net Pass Yards,341,144
Total Yards,408,241
Fumbles-Lost,2-2,1-1
Turnovers,3,1
Penalties-Yards,4-38,3-21
Third Down Conv.,8-15,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,33:58,26:02
