Unnamed: 0,IND,NWE
First Downs,26,24
Rush-Yds-TDs,31-99-1,24-73-2
Cmp-Att-Yd-TD-INT,30-37-353-2-1,29-38-289-2-0
Sacked-Yards,2-15,1-0
Net Pass Yards,338,289
Total Yards,437,362
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,5-29,3-20
Third Down Conv.,10-15,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,35:39,24:21
