Quarter,Time,Tm,Detail,IND,NWE
1.0,9:30,Patriots,Stephen Gostkowski 39 yard field goal,0,3
2.0,14:11,Colts,Adam Vinatieri 31 yard field goal,3,3
,2:57,Patriots,Rob Gronkowski 11 yard pass from Tom Brady (Stephen Gostkowski kick),3,10
,0:13,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),3,17
3.0,12:16,Patriots,Rob Gronkowski 21 yard pass from Tom Brady (Stephen Gostkowski kick),3,24
,4:13,Patriots,Rob Gronkowski 2 yard rush (Stephen Gostkowski kick),3,31
4.0,10:24,Colts,Donald Brown 5 yard rush (Adam Vinatieri kick),10,31
,2:12,Colts,Pierre Garcon 33 yard pass from Dan Orlovsky (Adam Vinatieri kick),17,31
,0:36,Colts,Pierre Garcon 12 yard pass from Dan Orlovsky (Adam Vinatieri kick),24,31
