Quarter,Time,Tm,Detail,OAK,DEN
2.0,1:55,Broncos,Jason Elam 32 yard field goal,0,3
,0:44,Broncos,Rod Smith 85 yard pass from Jake Plummer (Jason Elam kick),0,10
,0:16,Raiders,Jerry Porter 42 yard pass from Kerry Collins (Sebastian Janikowski kick),7,10
3.0,12:50,Raiders,Jerry Porter 14 yard pass from Kerry Collins (Sebastian Janikowski kick failed),13,10
4.0,14:26,Broncos,Reuben Droughns 3 yard rush (Jason Elam kick),13,17
,13:26,Broncos,Ellis Johnson 32 yard interception return (Jason Elam kick),13,24
,6:11,Raiders,Ronald Curry 6 yard pass from Kerry Collins (pass failed),19,24
,1:49,Raiders,Jerry Porter 5 yard pass from Kerry Collins (pass failed),25,24
