Unnamed: 0,OAK,DEN
First Downs,19,16
Rush-Yds-TDs,18-61-0,34-122-1
Cmp-Att-Yd-TD-INT,26-45-339-4-2,14-23-245-1-1
Sacked-Yards,1-5,0-0
Net Pass Yards,334,245
Total Yards,395,367
Fumbles-Lost,3-1,3-2
Turnovers,3,3
Penalties-Yards,5-38,5-31
Third Down Conv.,3-12,2-11
Fourth Down Conv.,1-2,0-0
Time of Possession,29:19,30:41
