Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Mike Hollis kicks off 60 yards, returned by Kevin Kasper for 41 yards (tackle by Sammy Morris)",0.000,2.320
1,14:51,1,10,BUF 49,0,0,Mike Anderson left guard for 3 yards (tackle by London Fletcher),2.320,2.190
1,14:17,2,7,BUF 46,0,0,Mike Anderson right tackle for 5 yards (tackle by Coy Wire),2.190,2.150
1,13:35,3,2,BUF 41,0,0,"Penalty on Ben Hamilton: False Start, 5 yards (no play)",2.150,1.490
1,13:12,3,7,BUF 46,0,0,Brian Griese pass incomplete intended for Ed McCaffrey,1.490,0.200
1,13:08,4,7,BUF 46,0,0,Tom Rouen punts 45 yards,0.200,0.380
1,12:59,1,10,BUF 1,0,0,Drew Bledsoe pass complete to Travis Henry for 4 yards (tackle by Chester McGlockton),-0.380,-0.490
1,12:17,2,6,BUF 5,0,0,Drew Bledsoe pass complete to Travis Henry for 5 yards (tackle by John Mobley),-0.490,-0.370
1,11:34,3,1,BUF 10,0,0,Drew Bledsoe pass complete to Eric Moulds for 6 yards (tackle by Deltha O'Neal),-0.370,-0.140
1,10:52,1,10,BUF 16,0,0,Travis Henry right tackle for no gain (tackle by Kenoy Kennedy),-0.140,-0.660
1,10:09,2,10,BUF 16,0,0,Travis Henry left tackle for -1 yards (tackle by Reggie Hayward),-0.660,-1.470
1,9:29,3,11,BUF 15,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds,-1.470,-2.440
1,9:29,4,11,BUF 15,0,0,"Brian Moorman punts 53 yards, returned by Deltha O'Neal for 7 yards (tackle by DaShon Polk). Penalty on DEN: Illegal Contact, 10 yards",-2.440,-0.870
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
1,9:07,1,10,DEN 29,0,0,Brian Griese pass complete to Rod Smith for 13 yards (tackle by Chris Watson),0.870,1.730
1,8:32,1,10,DEN 42,0,0,"Brian Griese pass incomplete intended for Ashley Lelie. Penalty on DEN: Face Mask (15 Yards), 15 yards (no play)",1.730,0.740
1,8:21,1,25,DEN 27,0,0,Mike Anderson middle for 2 yards (tackle by Coy Wire),0.740,-0.570
1,7:49,2,23,DEN 29,0,0,Brian Griese pass incomplete intended for Ed McCaffrey,-0.570,-1.220
1,7:45,3,23,DEN 29,0,0,Brian Griese pass complete to Ashley Lelie for 20 yards (tackle by Coy Wire),-1.220,-0.130
1,7:06,4,3,DEN 49,0,0,"Tom Rouen punts 19 yards, out of bounds",-0.130,-1.070
1,7:00,1,10,BUF 32,0,0,Drew Bledsoe pass complete to Larry Centers for 4 yards (tackle by Deltha O'Neal),1.070,1.070
1,6:22,2,6,BUF 36,0,0,Drew Bledsoe pass incomplete intended for Eric Moulds,1.070,0.370
1,6:16,3,6,BUF 36,0,0,Drew Bledsoe sacked by John Mobley for -9 yards,0.370,-1.570
1,5:54,4,15,BUF 27,0,0,Brian Moorman punts 70 yards,-1.570,0.380
1,5:43,1,10,DEN 3,0,0,Clinton Portis right tackle for 2 yards (tackle by Ron Edwards and Pat Williams),-0.380,-0.630
1,5:05,2,8,DEN 5,0,0,Brian Griese pass complete to Dwayne Carswell for 4 yards (tackle by Pierson Prioleau and London Fletcher),-0.630,-0.720
1,4:38,3,4,DEN 9,0,0,Brian Griese sacked by Aaron Schobel for -7 yards,-0.720,-2.490
1,4:17,4,11,DEN 2,0,0,"Tom Rouen punts 53 yards, returned by Charlie Rogers for no gain. Penalty on Jason Bostic: Offensive Holding, 11 yards, Penalty on Phillip Crosby: Running Into the Kicker (Declined)",-2.490,-1.200
1,4:05,1,10,BUF 34,0,0,"Drew Bledsoe pass complete to Travis Henry for 4 yards (tackle by Izell Reese and Al Wilson). Penalty on Marques Sullivan: Offensive Holding, 10 yards (no play)",1.200,0.540
1,3:46,1,20,BUF 24,0,6,"Travis Henry right tackle for no gain (tackle by Montae Reagor). Travis Henry fumbles (forced by Montae Reagor), recovered by Chester McGlockton at BUF-24 and returned for 24 yards, touchdown",0.540,-7.000
1,3:38,,,BUF 24,0,7,Jason Elam kicks extra point good,0.000,0.000
1,3:38,,,DEN 30,0,7,"Jason Elam kicks off 68 yards, returned by Charlie Rogers for 25 yards (tackle by Kelly Herndon)",0.000,0.740
1,3:31,1,10,BUF 27,0,7,Drew Bledsoe pass complete to Jay Riemersma for 3 yards (tackle by Deltha O'Neal),0.740,0.600
1,2:56,2,7,BUF 30,0,7,Drew Bledsoe pass complete to Peerless Price for 9 yards (tackle by Kenoy Kennedy),0.600,1.530
1,2:17,1,10,BUF 39,0,7,Shawn Bryson middle for 4 yards (tackle by Monsanto Pope),1.530,1.530
1,1:43,2,6,BUF 43,0,7,Drew Bledsoe pass complete to Eric Moulds for 5 yards (tackle by Tyrone Poole),1.530,1.490
1,1:03,3,1,BUF 48,0,7,Shawn Bryson right end for no gain (tackle by Al Wilson),1.490,-0.190
1,0:08,4,1,BUF 48,0,7,"Brian Moorman punts 37 yards, fair catch by Deltha O'Neal",-0.190,0.220
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 15,0,7,Mike Anderson middle for 7 yards (tackle by Antoine Winfield),-0.220,0.350
2,14:23,2,3,DEN 22,0,7,"Clinton Portis left tackle for 3 yards (tackle by Chidi Ahanotu). Penalty on Ron Edwards: Face Mask (15 Yards), 15 yards",0.350,1.600
2,14:05,1,10,DEN 40,0,7,Clinton Portis right tackle for 4 yards (tackle by London Fletcher),1.600,1.590
2,13:28,2,6,DEN 44,0,7,Brian Griese pass complete to Rod Smith for 17 yards (tackle by Chris Watson),1.590,2.980
2,12:49,1,10,BUF 39,0,7,Brian Griese for 5 yards,2.980,3.120
2,12:22,2,5,BUF 34,0,7,Clinton Portis left guard for 4 yards (tackle by London Fletcher),3.120,2.940
2,11:40,3,1,BUF 30,0,7,Clinton Portis left tackle for 3 yards (tackle by Pat Williams),2.940,3.780
2,11:01,1,10,BUF 27,0,7,Brian Griese pass complete to Ed McCaffrey for 24 yards (tackle by Pierson Prioleau),3.780,6.510
2,10:31,1,3,BUF 3,0,7,Clinton Portis right guard for 2 yards (tackle by Antoine Winfield),6.510,5.910
2,9:55,2,1,BUF 1,0,13,"Clinton Portis right tackle for 1 yard, touchdown",5.910,7.000
2,9:55,,,BUF 1,0,14,Jason Elam kicks extra point good,0.000,0.000
2,9:55,,,DEN 30,0,14,"Jason Elam kicks off 67 yards, returned by Charlie Rogers for 20 yards (tackle by Donnie Spragan)",0.000,0.480
2,9:46,1,10,BUF 23,0,14,Drew Bledsoe pass incomplete intended for Eric Moulds,0.480,-0.070
2,9:40,2,10,BUF 23,0,14,Drew Bledsoe sacked by Trevor Pryce for -4 yards,-0.070,-1.360
2,9:15,3,14,BUF 19,0,14,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Izell Reese),-1.360,-2.140
2,9:10,4,14,BUF 19,0,14,"Brian Moorman punts 42 yards, returned by Deltha O'Neal for -5 yards (tackle by Jason Bostic)",-2.140,-1.200
2,8:54,1,10,DEN 34,0,14,Mike Anderson right guard for 5 yards (tackle by Aaron Schobel),1.200,1.330
2,8:21,2,5,DEN 39,0,14,"Brian Griese pass incomplete intended for Rod Smith (defended by Chris Watson). Penalty on Chris Watson: Defensive Pass Interference, 11 yards (no play)",1.330,2.260
2,8:16,1,10,,0,14,Brian Griese pass incomplete intended for Ed McCaffrey,2.260,1.710
2,8:11,2,10,,0,14,Brian Griese pass incomplete intended for Mike Anderson,1.710,1.030
2,8:06,3,10,,0,14,Brian Griese pass incomplete intended for Ashley Lelie,1.030,-0.060
2,8:00,4,10,,0,14,"Tom Rouen punts 50 yards, touchback",-0.060,-0.280
2,7:49,1,10,BUF 20,0,14,Travis Henry left end for -1 yards (tackle by Ian Gold),0.280,-0.460
2,7:06,2,11,BUF 19,0,14,Drew Bledsoe pass complete to Larry Centers for 10 yards (tackle by Izell Reese),-0.460,0.230
2,6:18,3,1,BUF 29,0,14,Travis Henry middle for 6 yards (tackle by Al Wilson),0.230,1.270
2,5:43,1,10,BUF 35,0,14,Travis Henry middle for 5 yards (tackle by Al Wilson),1.270,1.400
2,5:07,2,5,BUF 40,0,14,Drew Bledsoe pass incomplete intended for Peerless Price (defended by Mike Anderson),1.400,0.700
2,4:57,2,5,BUF 40,,,Timeout #1 by Buffalo Bills,1.400,0.700
2,4:57,3,5,BUF 40,0,14,Drew Bledsoe pass complete to Eric Moulds for 44 yards (tackle by Kenoy Kennedy),0.700,4.510
2,4:35,1,10,DEN 16,0,14,"Travis Henry right tackle for 14 yards (tackle by Kenoy Kennedy). Penalty on Mike Williams: Offensive Holding, 10 yards (no play)",4.510,3.840
2,4:20,1,20,DEN 26,0,14,Drew Bledsoe pass complete to Peerless Price for 21 yards (tackle by Kenoy Kennedy),3.840,6.060
2,3:35,1,5,DEN 5,0,14,Travis Henry left tackle for 4 yards (tackle by Ian Gold and Kenoy Kennedy),6.060,5.910
2,2:54,1,5,DEN 5,,,Timeout #2 by Buffalo Bills,6.060,5.910
2,2:54,2,1,DEN 1,6,14,"Travis Henry left end for 1 yard, touchdown",5.910,7.000
2,2:54,,,DEN 1,7,14,Mike Hollis kicks extra point good,0.000,0.000
2,2:54,,,BUF 30,7,14,"Mike Hollis kicks off 70 yards, returned by Kevin Kasper for 21 yards (tackle by Phillip Crosby)",0.000,0.340
2,2:45,1,10,DEN 21,7,14,Clinton Portis right end for 24 yards (tackle by Antoine Winfield),0.340,1.930
2,2:30,1,10,DEN 45,7,14,Brian Griese for 2 yards,1.930,1.650
2,2:08,2,8,DEN 47,7,14,Brian Griese pass incomplete intended for Rod Smith,1.650,0.960
2,2:04,3,8,DEN 47,7,14,Brian Griese pass incomplete intended for Rod Smith (defended by Nate Clements),0.960,-0.260
2,1:59,4,8,DEN 47,7,14,"Tom Rouen punts 53 yards, touchback",-0.260,-0.280
2,1:48,1,10,BUF 20,7,14,Drew Bledsoe pass incomplete (defended by Trevor Pryce),0.280,-0.270
2,1:44,2,10,BUF 20,7,14,Drew Bledsoe pass complete to Larry Centers for -3 yards (tackle by John Mobley),-0.270,-1.510
2,1:33,2,10,BUF 20,,,Timeout #1 by Denver Broncos,-0.270,-1.510
2,1:33,3,13,BUF 17,7,14,Drew Bledsoe sacked by Bertrand Berry for -9 yards,-1.510,-2.490
